Position Generated, Velocity Generated, Time
1, 5026.18994140625, 3313
127, 5026.18994140625, 3339
252, 5026.18994140625, 3364
377, 5026.18994140625, 3390
0, 0.0, 3401
0, 0.0, 3410
0, 0.0, 3420
0, 0.0, 3429
0, 0.0, 3438
0, 0.0, 3448
0, 0.0, 3457
0, 0.0, 3467
0, 0.0, 3476
0, 0.0, 3485
0, 0.0, 3495
0, 0.0, 3504
0, 0.0, 3513
0, 0.0, 3523
0, 0.0, 3532
0, 0.0, 3541
0, 0.0, 3551
0, 0.0, 3560
0, 0.0, 3570
0, 0.0, 3579
0, 0.0, 3588
0, 0.0, 3598
0, 0.0, 3607
0, 0.0, 3616
0, 0.0, 3626
0, 0.0, 3635
0, 0.0, 3644
0, 0.0, 3654
0, 0.0, 3663
0, 0.0, 3672
0, 0.0, 3682
0, 0.0, 3691
0, 0.0, 3701
0, 0.0, 3710
0, 0.0, 3719
0, 0.0, 3729
0, 0.0, 3738
0, 0.0, 3747
0, 0.0, 3757
0, 0.0, 3766
0, 0.0, 3775
0, 0.0, 3785
0, 0.0, 3794
0, 0.0, 3804
0, 0.0, 3813
0, 0.0, 3822
0, 0.0, 3832
0, 0.0, 3841
0, 0.0, 3850
0, 0.0, 3860
0, 0.0, 3869
0, 0.0, 3878
0, 0.0, 3888
0, 0.0, 3897
0, 0.0, 3906
0, 0.0, 3916
0, 0.0, 3925
0, 0.0, 3935
0, 0.0, 3944
0, 0.0, 3953
0, 0.0, 3963
0, 0.0, 3972
0, 0.0, 3981
0, 0.0, 3991
0, 0.0, 4000
0, 0.0, 4009
0, 0.0, 4019
0, 0.0, 4028
0, 0.0, 4038
0, 0.0, 4047
0, 0.0, 4056
0, 0.0, 4066
0, 0.0, 4075
0, 0.0, 4084
0, 0.0, 4094
0, 0.0, 4103
0, 0.0, 4112
0, 0.0, 4122
0, 0.0, 4131
0, 0.0, 4140
0, 0.0, 4150
0, 0.0, 4159
0, 0.0, 4169
0, 0.0, 4178
0, 0.0, 4187
0, 0.0, 4197
0, 0.0, 4206
0, 0.0, 4215
0, 0.0, 4225
0, 0.0, 4234
0, 0.0, 4243
0, 0.0, 4253
0, 0.0, 4262
0, 0.0, 4272
0, 0.0, 4281
0, 0.0, 4290
0, 0.0, 4300
0, 0.0, 4309
0, 0.0, 4318
0, 0.0, 4328
0, 0.0, 4337
0, 0.0, 4346
0, 0.0, 4356
0, 0.0, 4365
0, 0.0, 4374
0, 0.0, 4384
0, 0.0, 4393
0, 0.0, 4403
0, 0.0, 4412
0, 0.0, 4421
0, 0.0, 4431
0, 0.0, 4440
0, 0.0, 4449
0, 0.0, 4459
0, 0.0, 4468
0, 0.0, 4477
0, 0.0, 4487
0, 0.0, 4496
0, 0.0, 4506
0, 0.0, 4515
0, 0.0, 4524
0, 0.0, 4534
0, 0.0, 4543
0, 0.0, 4552
0, 0.0, 4562
0, 0.0, 4571
0, 0.0, 4580
0, 0.0, 4590
0, 0.0, 4599
0, 0.0, 4608
0, 0.0, 4618
0, 0.0, 4627
0, 0.0, 4637
0, 0.0, 4646
0, 0.0, 4655
0, 0.0, 4665
0, 0.0, 4674
0, 0.0, 4683
0, 0.0, 4693
0, 0.0, 4702
0, 0.0, 4711
0, 0.0, 4721
0, 0.0, 4730
0, 0.0, 4740
0, 0.0, 4749
0, 0.0, 4758
0, 0.0, 4768
0, 0.0, 4777
0, 0.0, 4786
0, 0.0, 4796
0, 0.0, 4805
0, 0.0, 4814
0, 0.0, 4824
0, 0.0, 4833
0, 0.0, 4843
0, 0.0, 4852
0, 0.0, 4861
0, 0.0, 4871
0, 0.0, 4880
0, 0.0, 4889
0, 0.0, 4899
0, 0.0, 4908
0, 0.0, 4917
0, 0.0, 4927
0, 0.0, 4936
0, 0.0, 4945
0, 0.0, 4955
0, 0.0, 4964
0, 0.0, 4974
0, 0.0, 4983
0, 0.0, 4992
0, 0.0, 5002
0, 0.0, 5011
0, 0.0, 5020
0, 0.0, 5030
0, 0.0, 5039
0, 0.0, 5048
0, 0.0, 5058
0, 0.0, 5067
0, 0.0, 5077
0, 0.0, 5086
0, 0.0, 5095
0, 0.0, 5105
0, 0.0, 5114
0, 0.0, 5123
0, 0.0, 5133
0, 0.0, 5142
0, 0.0, 5151
0, 0.0, 5161
0, 0.0, 5170
0, 0.0, 5179
0, 0.0, 5189
0, 0.0, 5198
0, 0.0, 5208
0, 0.0, 5217
0, 0.0, 5226
0, 0.0, 5236
0, 0.0, 5245
0, 0.0, 5254
0, 0.0, 5264
0, 0.0, 5273
0, 0.0, 5282
0, 0.0, 5292
0, 0.0, 5301
0, 0.0, 5311
0, 0.0, 5320
0, 0.0, 5329
0, 0.0, 5339
0, 0.0, 5348
0, 0.0, 5357
0, 0.0, 5367
0, 0.0, 5376
0, 0.0, 5385
0, 0.0, 5395
0, 0.0, 5404
0, 0.0, 5413
0, 0.0, 5423
0, 0.0, 5432
0, 0.0, 5442
0, 0.0, 5451
0, 0.0, 5460
0, 0.0, 5470
0, 0.0, 5479
0, 0.0, 5488
0, 0.0, 5498
0, 0.0, 5507
0, 0.0, 5516
0, 0.0, 5526
0, 0.0, 5535
0, 0.0, 5545
0, 0.0, 5554
0, 0.0, 5563
0, 0.0, 5573
0, 0.0, 5582
0, 0.0, 5591
0, 0.0, 5601
0, 0.0, 5610
0, 0.0, 5619
0, 0.0, 5629
0, 0.0, 5638
0, 0.0, 5647
0, 0.0, 5657
0, 0.0, 5666
0, 0.0, 5676
0, 0.0, 5685
0, 0.0, 5694
0, 0.0, 5704
0, 0.0, 5713
0, 0.0, 5722
0, 0.0, 5732
0, 0.0, 5741
0, 0.0, 5750
0, 0.0, 5760
0, 0.0, 5769
0, 0.0, 5779
0, 0.0, 5788
0, 0.0, 5797
0, 0.0, 5807
0, 0.0, 5816
0, 0.0, 5825
0, 0.0, 5835
0, 0.0, 5844
0, 0.0, 5853
0, 0.0, 5863
0, 0.0, 5872
0, 0.0, 5881
0, 0.0, 5891
0, 0.0, 5900
0, 0.0, 5910
0, 0.0, 5919
0, 0.0, 5928
0, 0.0, 5938
0, 0.0, 5947
0, 0.0, 5956
0, 0.0, 5966
0, 0.0, 5975
0, 0.0, 5984
0, 0.0, 5994
0, 0.0, 6003
0, 0.0, 6013
0, 0.0, 6022
0, 0.0, 6031
0, 0.0, 6041
0, 0.0, 6050
0, 0.0, 6059
0, 0.0, 6069
0, 0.0, 6078
0, 0.0, 6087
0, 0.0, 6097
0, 0.0, 6106
0, 0.0, 6115
0, 0.0, 6125
0, 0.0, 6134
0, 0.0, 6144
0, 0.0, 6153
0, 0.0, 6162
0, 0.0, 6172
0, 0.0, 6181
0, 0.0, 6190
0, 0.0, 6200
0, 0.0, 6209
0, 0.0, 6218
0, 0.0, 6228
0, 0.0, 6237
0, 0.0, 6247
0, 0.0, 6256
0, 0.0, 6265
0, 0.0, 6275
0, 0.0, 6284
0, 0.0, 6293
0, 0.0, 6303
0, 0.0, 6312
0, 0.0, 6321
0, 0.0, 6331
0, 0.0, 6340
0, 0.0, 6349
0, 0.0, 6359
0, 0.0, 6368
0, 0.0, 6378
0, 0.0, 6387
38, 5026.18994140625, 6402
193, 5026.18994140625, 6434
349, 5026.18994140625, 6466
505, 5026.18994140625, 6498
660, 5026.18994140625, 6529
816, 5026.18994140625, 6561
971, 5026.18994140625, 6593
1126, 5026.18994140625, 6625
1282, 5026.18994140625, 6657
1437, 5026.18994140625, 6689
1593, 5026.18994140625, 6720
1748, 5026.18994140625, 6752
1904, 5026.18994140625, 6784
2060, 5026.18994140625, 6816
2215, 5026.18994140625, 6848
2371, 5026.18994140625, 6880
2526, 5026.18994140625, 6912
2682, 5026.18994140625, 6943
2837, 5026.18994140625, 6975
2993, 5026.18994140625, 7007
3148, 5026.18994140625, 7039
3303, 5026.18994140625, 7071
3459, 5026.18994140625, 7103
3615, 5026.18994140625, 7134
3770, 5026.18994140625, 7166
3926, 5026.18994140625, 7198
4081, 5026.18994140625, 7230
4236, 5026.18994140625, 7262
4392, 5026.18994140625, 7294
