Raw Angle, Time
3368, 911
3364, 912
3352, 913
3335, 914
3324, 915
3315, 916
3302, 917
3290, 918
3281, 919
3265, 920
3255, 921
3245, 922
3231, 923
3219, 924
3210, 925
3198, 926
3185, 927
3174, 928
3165, 929
3153, 930
3139, 931
3130, 932
3119, 933
3107, 934
3095, 935
3085, 936
3073, 937
3061, 938
3052, 939
3039, 940
3028, 941
3017, 942
3006, 943
2994, 944
2983, 945
2973, 946
2961, 947
2950, 948
2940, 949
2929, 950
2916, 951
2908, 952
2896, 953
2884, 954
2874, 955
2862, 956
2850, 957
2837, 958
2828, 959
2816, 960
2804, 961
2795, 962
2783, 963
2771, 964
2761, 965
2750, 966
2736, 967
2725, 968
2715, 969
2703, 970
2690, 971
2680, 972
2668, 973
2656, 974
2644, 975
2634, 976
2621, 977
2610, 978
2599, 979
2585, 980
2573, 981
2563, 982
2550, 983
2538, 984
2525, 985
2514, 986
2502, 987
2489, 988
2479, 989
2465, 990
2453, 991
2440, 992
2430, 993
2426, 994
2429, 995
2429, 996
2426, 997
2429, 998
2429, 999
2426, 1000
2428, 1001
2429, 1002
2427, 1003
2427, 1004
2429, 1005
2428, 1006
2427, 1007
2428, 1008
2428, 1009
2427, 1010
2428, 1011
2428, 1012
2428, 1013
2429, 1014
2428, 1015
2428, 1016
2429, 1017
2428, 1018
2428, 1019
2428, 1020
2428, 1021
2428, 1022
2428, 1023
2428, 1024
2428, 1025
2428, 1026
2429, 1027
2428, 1028
2427, 1029
2428, 1030
2428, 1031
2427, 1032
2427, 1033
2428, 1034
2428, 1035
2427, 1036
2427, 1037
2428, 1038
2429, 1039
2428, 1040
2427, 1041
2428, 1042
2428, 1043
2428, 1044
2427, 1045
2428, 1046
2429, 1047
2428, 1048
2428, 1049
2429, 1050
2429, 1051
2427, 1052
2428, 1053
2428, 1054
2428, 1055
2428, 1056
2428, 1057
2428, 1058
2428, 1059
2428, 1060
2427, 1061
2427, 1062
2428, 1063
2428, 1064
2428, 1065
2428, 1066
2428, 1067
2428, 1068
2428, 1069
2428, 1070
2428, 1071
2428, 1072
2428, 1073
2428, 1074
2428, 1075
2428, 1076
2428, 1077
2427, 1078
2428, 1079
2428, 1080
2428, 1081
2428, 1082
2428, 1083
2429, 1084
2428, 1085
2427, 1086
2427, 1087
2428, 1088
2428, 1089
2428, 1090
2427, 1091
2428, 1092
2428, 1093
2428, 1094
2428, 1095
2428, 1096
2428, 1097
2427, 1098
2427, 1099
2428, 1100
2429, 1101
2428, 1102
2427, 1103
2428, 1104
2429, 1105
2429, 1106
2428, 1107
2427, 1108
2428, 1109
2428, 1110
2428, 1111
2428, 1112
2428, 1113
2428, 1114
2427, 1115
2426, 1116
2425, 1117
2425, 1118
2426, 1119
2425, 1120
2425, 1121
2426, 1122
2425, 1123
2424, 1124
2425, 1125
2425, 1126
2424, 1127
2425, 1128
2426, 1129
2425, 1130
2425, 1131
2425, 1132
2425, 1133
2426, 1134
2426, 1135
2425, 1136
2426, 1137
2426, 1138
2426, 1139
2426, 1140
2426, 1141
2425, 1142
2425, 1143
2425, 1144
2425, 1145
2426, 1146
2426, 1147
2426, 1148
2426, 1149
2426, 1150
2425, 1151
2425, 1152
2426, 1153
2426, 1154
2426, 1155
2425, 1156
2425, 1157
2425, 1158
2425, 1159
2425, 1160
2425, 1161
2425, 1162
2426, 1163
2425, 1164
2425, 1165
2426, 1166
2426, 1167
2426, 1168
2426, 1169
2426, 1170
2425, 1171
2425, 1172
2425, 1173
2426, 1174
2426, 1175
2426, 1176
2425, 1177
2426, 1178
2426, 1179
2426, 1180
2425, 1181
2426, 1182
2426, 1183
2425, 1184
2425, 1185
2425, 1186
2425, 1187
2425, 1188
2426, 1189
2425, 1190
2425, 1191
2426, 1192
2426, 1193
2426, 1194
2426, 1195
2426, 1196
2425, 1197
2425, 1198
2426, 1199
2425, 1200
2425, 1201
2425, 1202
2425, 1203
2426, 1204
2425, 1205
2426, 1206
2426, 1207
2426, 1208
2426, 1209
2426, 1210
2425, 1211
2425, 1212
2425, 1213
2425, 1214
2425, 1215
2425, 1216
2426, 1217
2426, 1218
2426, 1219
2426, 1220
2426, 1221
2426, 1222
2426, 1223
2425, 1224
2425, 1225
2425, 1226
2426, 1227
2427, 1228
2426, 1229
2426, 1230
2426, 1231
2426, 1232
2426, 1233
2425, 1234
2425, 1235
2425, 1236
2425, 1237
2426, 1238
2425, 1239
2425, 1240
2425, 1241
2425, 1242
2426, 1243
2425, 1244
2425, 1245
2426, 1246
2426, 1247
2426, 1248
2425, 1249
2426, 1250
2425, 1251
2425, 1252
2426, 1253
2426, 1254
2426, 1255
2426, 1256
2425, 1257
2425, 1258
2425, 1259
2425, 1260
2425, 1261
2426, 1262
2425, 1263
2426, 1264
2425, 1265
2425, 1266
2425, 1267
2425, 1268
2426, 1269
2426, 1270
2425, 1271
2426, 1272
2426, 1273
2425, 1274
2425, 1275
2426, 1276
2426, 1277
2425, 1278
2425, 1279
2425, 1280
2426, 1281
2425, 1282
2425, 1283
2425, 1284
2425, 1285
2426, 1286
2425, 1287
2425, 1288
2426, 1289
2425, 1290
2425, 1291
2426, 1292
2426, 1293
2426, 1294
2426, 1295
2426, 1296
2426, 1297
2425, 1298
2425, 1299
2426, 1300
2426, 1301
2426, 1302
2426, 1303
2426, 1304
2426, 1305
2426, 1306
2426, 1307
2426, 1308
2426, 1309
2426, 1310
2426, 1311
2426, 1312
2426, 1313
2426, 1314
2426, 1315
2425, 1316
2425, 1317
2425, 1318
2425, 1319
2426, 1320
2425, 1321
2425, 1322
2426, 1323
2426, 1324
2425, 1325
2424, 1326
2425, 1327
2426, 1328
2425, 1329
2425, 1330
2425, 1331
2425, 1332
2426, 1333
2426, 1334
2426, 1335
2425, 1336
2425, 1337
2426, 1338
2427, 1339
2426, 1340
2425, 1341
2425, 1342
2426, 1343
2426, 1344
2426, 1345
2426, 1346
2426, 1347
2426, 1348
2426, 1349
2425, 1350
2425, 1351
2425, 1352
2425, 1353
2425, 1354
2426, 1355
2426, 1356
2426, 1357
2426, 1358
2426, 1359
2426, 1360
2425, 1361
2425, 1362
2425, 1363
2426, 1364
2426, 1365
2426, 1366
2425, 1367
2426, 1368
2426, 1369
2426, 1370
2425, 1371
2425, 1372
2425, 1373
2425, 1374
2425, 1375
2425, 1376
2425, 1377
2425, 1378
2425, 1379
2426, 1380
2426, 1381
2426, 1382
2425, 1383
2426, 1384
2426, 1385
2426, 1386
2426, 1387
