Position Generated, Velocity Generated, Time
1, 5026.18994140625, 8813
125, 5026.18994140625, 8839
249, 5026.18994140625, 8864
373, 5026.18994140625, 8880
0, 0.0, 8890
0, 0.0, 8899
0, 0.0, 8909
0, 0.0, 8937
0, 0.0, 8971
0, 0.0, 8996
0, 0.0, 9005
0, 0.0, 9014
0, 0.0, 9023
0, 0.0, 9032
0, 0.0, 9041
0, 0.0, 9050
0, 0.0, 9059
0, 0.0, 9068
0, 0.0, 9077
0, 0.0, 9086
0, 0.0, 9096
0, 0.0, 9105
0, 0.0, 9114
0, 0.0, 9123
0, 0.0, 9132
0, 0.0, 9141
0, 0.0, 9150
0, 0.0, 9159
0, 0.0, 9168
0, 0.0, 9177
0, 0.0, 9186
0, 0.0, 9195
0, 0.0, 9204
0, 0.0, 9213
0, 0.0, 9222
0, 0.0, 9232
0, 0.0, 9241
0, 0.0, 9250
0, 0.0, 9259
0, 0.0, 9268
0, 0.0, 9277
0, 0.0, 9286
0, 0.0, 9295
0, 0.0, 9304
0, 0.0, 9313
0, 0.0, 9322
0, 0.0, 9331
0, 0.0, 9340
0, 0.0, 9349
0, 0.0, 9358
0, 0.0, 9368
0, 0.0, 9377
0, 0.0, 9386
0, 0.0, 9395
0, 0.0, 9404
0, 0.0, 9413
0, 0.0, 9422
0, 0.0, 9431
0, 0.0, 9440
0, 0.0, 9449
0, 0.0, 9458
0, 0.0, 9467
0, 0.0, 9476
0, 0.0, 9485
0, 0.0, 9494
0, 0.0, 9504
0, 0.0, 9513
0, 0.0, 9522
0, 0.0, 9531
0, 0.0, 9540
0, 0.0, 9549
0, 0.0, 9558
0, 0.0, 9567
0, 0.0, 9576
0, 0.0, 9585
0, 0.0, 9594
0, 0.0, 9603
0, 0.0, 9612
0, 0.0, 9621
0, 0.0, 9630
0, 0.0, 9640
0, 0.0, 9649
0, 0.0, 9658
0, 0.0, 9667
0, 0.0, 9676
0, 0.0, 9685
0, 0.0, 9694
0, 0.0, 9703
0, 0.0, 9712
0, 0.0, 9721
0, 0.0, 9730
0, 0.0, 9739
0, 0.0, 9748
0, 0.0, 9757
0, 0.0, 9766
0, 0.0, 9776
0, 0.0, 9785
0, 0.0, 9794
0, 0.0, 9803
0, 0.0, 9812
0, 0.0, 9821
0, 0.0, 9830
0, 0.0, 9839
0, 0.0, 9848
0, 0.0, 9857
0, 0.0, 9866
0, 0.0, 9875
0, 0.0, 9884
0, 0.0, 9893
0, 0.0, 9902
0, 0.0, 9912
0, 0.0, 9921
0, 0.0, 9930
0, 0.0, 9939
0, 0.0, 9948
0, 0.0, 9957
0, 0.0, 9966
0, 0.0, 9975
0, 0.0, 9984
0, 0.0, 9993
0, 0.0, 10002
0, 0.0, 10011
0, 0.0, 10020
0, 0.0, 10029
0, 0.0, 10039
0, 0.0, 10049
0, 0.0, 10058
0, 0.0, 10067
0, 0.0, 10076
0, 0.0, 10085
0, 0.0, 10094
0, 0.0, 10103
0, 0.0, 10112
0, 0.0, 10121
0, 0.0, 10130
0, 0.0, 10139
0, 0.0, 10148
0, 0.0, 10157
0, 0.0, 10166
0, 0.0, 10176
0, 0.0, 10185
0, 0.0, 10194
0, 0.0, 10203
0, 0.0, 10212
0, 0.0, 10221
0, 0.0, 10230
0, 0.0, 10239
0, 0.0, 10248
0, 0.0, 10257
0, 0.0, 10266
0, 0.0, 10275
0, 0.0, 10284
0, 0.0, 10293
0, 0.0, 10302
0, 0.0, 10312
0, 0.0, 10321
0, 0.0, 10330
0, 0.0, 10339
0, 0.0, 10348
0, 0.0, 10357
0, 0.0, 10366
0, 0.0, 10375
0, 0.0, 10384
0, 0.0, 10393
0, 0.0, 10402
0, 0.0, 10411
0, 0.0, 10420
0, 0.0, 10429
0, 0.0, 10438
0, 0.0, 10448
0, 0.0, 10457
0, 0.0, 10466
0, 0.0, 10475
0, 0.0, 10484
0, 0.0, 10493
0, 0.0, 10502
0, 0.0, 10511
0, 0.0, 10520
0, 0.0, 10529
0, 0.0, 10538
0, 0.0, 10547
0, 0.0, 10556
0, 0.0, 10565
0, 0.0, 10574
0, 0.0, 10584
0, 0.0, 10593
0, 0.0, 10602
0, 0.0, 10611
0, 0.0, 10620
0, 0.0, 10629
0, 0.0, 10638
0, 0.0, 10647
0, 0.0, 10656
0, 0.0, 10665
0, 0.0, 10674
0, 0.0, 10683
0, 0.0, 10692
0, 0.0, 10701
0, 0.0, 10710
0, 0.0, 10720
0, 0.0, 10729
0, 0.0, 10738
0, 0.0, 10747
0, 0.0, 10756
0, 0.0, 10765
0, 0.0, 10774
0, 0.0, 10783
0, 0.0, 10792
0, 0.0, 10801
0, 0.0, 10810
0, 0.0, 10819
0, 0.0, 10828
0, 0.0, 10837
0, 0.0, 10846
0, 0.0, 10856
0, 0.0, 10865
0, 0.0, 10874
0, 0.0, 10883
0, 0.0, 10892
0, 0.0, 10901
0, 0.0, 10910
0, 0.0, 10919
0, 0.0, 10928
0, 0.0, 10937
0, 0.0, 10946
0, 0.0, 10955
0, 0.0, 10964
0, 0.0, 10973
0, 0.0, 10983
0, 0.0, 10993
0, 0.0, 11002
0, 0.0, 11011
0, 0.0, 11020
0, 0.0, 11029
0, 0.0, 11038
0, 0.0, 11047
0, 0.0, 11056
0, 0.0, 11065
0, 0.0, 11074
0, 0.0, 11083
0, 0.0, 11092
0, 0.0, 11101
0, 0.0, 11110
0, 0.0, 11120
0, 0.0, 11130
0, 0.0, 11139
0, 0.0, 11148
0, 0.0, 11157
0, 0.0, 11166
0, 0.0, 11175
0, 0.0, 11184
0, 0.0, 11193
0, 0.0, 11202
0, 0.0, 11211
0, 0.0, 11220
0, 0.0, 11229
0, 0.0, 11238
0, 0.0, 11247
0, 0.0, 11257
0, 0.0, 11266
0, 0.0, 11275
0, 0.0, 11284
0, 0.0, 11293
0, 0.0, 11302
0, 0.0, 11311
0, 0.0, 11320
0, 0.0, 11329
0, 0.0, 11338
0, 0.0, 11347
0, 0.0, 11356
0, 0.0, 11365
0, 0.0, 11374
0, 0.0, 11383
0, 0.0, 11393
0, 0.0, 11402
0, 0.0, 11411
0, 0.0, 11420
0, 0.0, 11429
0, 0.0, 11438
0, 0.0, 11447
0, 0.0, 11456
0, 0.0, 11465
0, 0.0, 11474
0, 0.0, 11483
0, 0.0, 11492
0, 0.0, 11501
0, 0.0, 11510
0, 0.0, 11520
0, 0.0, 11530
0, 0.0, 11539
0, 0.0, 11548
0, 0.0, 11557
0, 0.0, 11566
0, 0.0, 11575
0, 0.0, 11584
0, 0.0, 11593
0, 0.0, 11602
0, 0.0, 11611
0, 0.0, 11620
0, 0.0, 11629
0, 0.0, 11638
0, 0.0, 11647
0, 0.0, 11657
0, 0.0, 11667
0, 0.0, 11676
0, 0.0, 11685
0, 0.0, 11694
0, 0.0, 11703
0, 0.0, 11712
0, 0.0, 11721
0, 0.0, 11730
0, 0.0, 11739
0, 0.0, 11748
0, 0.0, 11757
0, 0.0, 11766
0, 0.0, 12031
0, 0.0, 11784
0, 0.0, 11794
0, 0.0, 11803
0, 0.0, 11812
0, 0.0, 11821
0, 0.0, 11830
0, 0.0, 11839
0, 0.0, 11848
0, 0.0, 11857
0, 0.0, 11866
0, 0.0, 11875
0, 0.0, 11884
0, 0.0, 11893
0, 0.0, 11902
0, 0.0, 11911
0, 0.0, 11920
0, 0.0, 11930
0, 0.0, 11939
0, 0.0, 11948
0, 0.0, 11957
0, 0.0, 11966
0, 0.0, 11975
0, 0.0, 11984
0, 0.0, 11993
36, 5026.18994140625, 12023
189, 5026.18994140625, 12054
343, 5026.18994140625, 12086
497, 5026.18994140625, 12117
651, 5026.18994140625, 12149
804, 5026.18994140625, 12180
958, 5026.18994140625, 12212
1112, 5026.18994140625, 12243
1265, 5026.18994140625, 12275
1419, 5026.18994140625, 12306
1572, 5026.18994140625, 12338
1726, 5026.18994140625, 12369
1880, 5026.18994140625, 12401
2034, 5026.18994140625, 12432
2187, 5026.18994140625, 12463
2341, 5026.18994140625, 12495
2494, 5026.18994140625, 12526
2648, 5026.18994140625, 12558
2802, 5026.18994140625, 12589
2956, 5026.18994140625, 12621
3109, 5026.18994140625, 12652
3263, 5026.18994140625, 12684
3417, 5026.18994140625, 12715
3571, 5026.18994140625, 12747
3724, 5026.18994140625, 12778
