Position Generated, Velocity Generated, Time
3, 5026.18994140625, 2191
125, 5026.18994140625, 2216
248, 5026.18994140625, 2241
370, 5026.18994140625, 2258
0, 0.0, 2267
0, 0.0, 2275
0, 0.0, 2285
0, 0.0, 2297
0, 0.0, 2330
0, 0.0, 2363
0, 0.0, 2381
0, 0.0, 2389
0, 0.0, 2399
0, 0.0, 2408
0, 0.0, 2416
0, 0.0, 2426
0, 0.0, 2435
0, 0.0, 2443
0, 0.0, 2453
0, 0.0, 2462
0, 0.0, 2471
0, 0.0, 2479
0, 0.0, 2489
0, 0.0, 2498
0, 0.0, 2506
0, 0.0, 2516
0, 0.0, 2525
0, 0.0, 2533
0, 0.0, 2543
0, 0.0, 2552
0, 0.0, 2561
0, 0.0, 2569
0, 0.0, 2579
0, 0.0, 2588
0, 0.0, 2596
0, 0.0, 2606
0, 0.0, 2615
0, 0.0, 2623
0, 0.0, 2632
0, 0.0, 2642
0, 0.0, 2651
0, 0.0, 2659
0, 0.0, 2669
0, 0.0, 2678
0, 0.0, 2686
0, 0.0, 2696
0, 0.0, 2705
0, 0.0, 2714
0, 0.0, 2722
0, 0.0, 2732
0, 0.0, 2741
0, 0.0, 2749
0, 0.0, 2759
0, 0.0, 2768
0, 0.0, 2776
0, 0.0, 2786
0, 0.0, 2795
0, 0.0, 2804
0, 0.0, 2812
0, 0.0, 2822
0, 0.0, 2831
0, 0.0, 2839
0, 0.0, 2849
0, 0.0, 2858
0, 0.0, 2866
0, 0.0, 2876
0, 0.0, 2885
0, 0.0, 2894
0, 0.0, 2902
0, 0.0, 2912
0, 0.0, 2921
0, 0.0, 2929
0, 0.0, 2939
0, 0.0, 2948
0, 0.0, 2956
0, 0.0, 2966
0, 0.0, 2975
0, 0.0, 2984
0, 0.0, 2992
0, 0.0, 3002
0, 0.0, 3011
0, 0.0, 3020
0, 0.0, 3029
0, 0.0, 3038
0, 0.0, 3047
0, 0.0, 3056
0, 0.0, 3065
0, 0.0, 3074
0, 0.0, 3083
0, 0.0, 3092
0, 0.0, 3101
0, 0.0, 3110
0, 0.0, 3120
0, 0.0, 3130
0, 0.0, 3139
0, 0.0, 3148
0, 0.0, 3157
0, 0.0, 3166
0, 0.0, 3175
0, 0.0, 3184
0, 0.0, 3193
0, 0.0, 3202
0, 0.0, 3211
0, 0.0, 3220
0, 0.0, 3229
0, 0.0, 3238
0, 0.0, 3247
0, 0.0, 3257
0, 0.0, 3266
0, 0.0, 3275
0, 0.0, 3284
0, 0.0, 3293
0, 0.0, 3302
0, 0.0, 3311
0, 0.0, 3320
0, 0.0, 3329
0, 0.0, 3338
0, 0.0, 3347
0, 0.0, 3356
0, 0.0, 3365
0, 0.0, 3374
0, 0.0, 3383
0, 0.0, 3393
0, 0.0, 3402
0, 0.0, 3411
0, 0.0, 3420
0, 0.0, 3429
0, 0.0, 3438
0, 0.0, 3447
0, 0.0, 3456
0, 0.0, 3465
0, 0.0, 3474
0, 0.0, 3483
0, 0.0, 3492
0, 0.0, 3501
0, 0.0, 3510
0, 0.0, 3519
0, 0.0, 3529
0, 0.0, 3538
0, 0.0, 3547
0, 0.0, 3556
0, 0.0, 3565
0, 0.0, 3574
0, 0.0, 3583
0, 0.0, 3592
0, 0.0, 3601
0, 0.0, 3610
0, 0.0, 3619
0, 0.0, 3628
0, 0.0, 3637
0, 0.0, 3646
0, 0.0, 3655
0, 0.0, 3665
0, 0.0, 3674
0, 0.0, 3683
0, 0.0, 3692
0, 0.0, 3701
0, 0.0, 3710
0, 0.0, 3719
0, 0.0, 3728
0, 0.0, 3737
0, 0.0, 3746
0, 0.0, 3755
0, 0.0, 3764
0, 0.0, 3773
0, 0.0, 3782
0, 0.0, 3792
0, 0.0, 3802
0, 0.0, 3811
0, 0.0, 3820
0, 0.0, 3829
0, 0.0, 3838
0, 0.0, 3847
0, 0.0, 3856
0, 0.0, 3865
0, 0.0, 3874
0, 0.0, 3883
0, 0.0, 3892
0, 0.0, 3901
0, 0.0, 3910
