Raw Angle, Time, Match Flag, Started
3701, 5451, 0, 1
3702, 5452, 0, 1
3702, 5453, 0, 1
3702, 5454, 0, 1
3702, 5455, 0, 1
3702, 5456, 0, 1
3702, 5457, 0, 1
3702, 5458, 0, 1
3702, 5459, 0, 1
3702, 5460, 0, 1
3702, 5461, 0, 1
3702, 5462, 0, 1
3702, 5463, 0, 1
3702, 5464, 0, 1
3701, 5465, 0, 1
3701, 5466, 0, 1
3701, 5467, 0, 1
3700, 5468, 0, 1
3700, 5469, 0, 1
3700, 5470, 0, 1
3700, 5471, 0, 1
3700, 5472, 0, 1
3700, 5473, 0, 1
3701, 5474, 0, 1
3701, 5475, 0, 1
3702, 5476, 0, 1
3702, 5477, 0, 1
3703, 5478, 0, 1
3703, 5479, 0, 1
3704, 5480, 0, 1
3704, 5481, 0, 1
3704, 5482, 0, 1
3704, 5483, 0, 1
3704, 5484, 0, 1
3705, 5485, 0, 1
3705, 5486, 0, 1
3705, 5487, 0, 1
3704, 5488, 0, 1
3704, 5489, 0, 1
3704, 5490, 0, 1
3704, 5491, 0, 1
3703, 5492, 0, 1
3703, 5493, 0, 1
3702, 5494, 0, 1
3702, 5495, 0, 1
3702, 5496, 0, 1
3702, 5497, 0, 1
3702, 5498, 0, 1
3701, 5499, 0, 1
3702, 5500, 0, 1
3701, 5501, 0, 1
3702, 5502, 0, 1
3702, 5503, 0, 1
3702, 5504, 0, 1
3702, 5505, 0, 1
3702, 5506, 0, 1
3702, 5507, 0, 1
3703, 5508, 0, 1
3703, 5509, 0, 1
3702, 5510, 0, 1
3702, 5511, 0, 1
3702, 5512, 0, 1
3702, 5513, 0, 1
3702, 5514, 0, 1
3702, 5515, 0, 1
3702, 5516, 0, 1
3702, 5517, 0, 1
3702, 5518, 0, 1
3702, 5519, 0, 1
3701, 5520, 0, 1
3702, 5521, 0, 1
3702, 5522, 0, 1
3702, 5523, 0, 1
3702, 5524, 0, 1
3702, 5525, 0, 1
3702, 5526, 0, 1
3703, 5527, 0, 1
3703, 5528, 0, 1
3703, 5529, 0, 1
3704, 5530, 0, 1
3704, 5531, 0, 1
3704, 5532, 0, 1
3704, 5533, 0, 1
3704, 5534, 0, 1
3704, 5535, 0, 1
3704, 5536, 0, 1
3704, 5537, 0, 1
3704, 5538, 0, 1
3704, 5539, 0, 1
3703, 5540, 0, 1
3703, 5541, 0, 1
3703, 5542, 0, 1
3703, 5543, 0, 1
3702, 5544, 0, 1
3702, 5545, 0, 1
3702, 5546, 0, 1
3702, 5547, 0, 1
3702, 5548, 0, 1
3702, 5549, 0, 1
3702, 5550, 0, 1
3702, 5551, 0, 1
3702, 5552, 0, 1
3702, 5553, 0, 1
3702, 5554, 0, 1
3702, 5555, 0, 1
3702, 5556, 0, 1
3702, 5557, 0, 1
3702, 5558, 0, 1
3702, 5559, 0, 1
3702, 5560, 0, 1
3702, 5561, 0, 1
3702, 5562, 0, 1
3702, 5563, 0, 1
3702, 5564, 0, 1
3702, 5565, 0, 1
3702, 5566, 0, 1
3702, 5567, 0, 1
3702, 5568, 0, 1
3702, 5569, 0, 1
3702, 5570, 0, 1
3702, 5571, 0, 1
3702, 5572, 0, 1
3703, 5573, 0, 1
3703, 5574, 0, 1
3703, 5575, 0, 1
3703, 5576, 0, 1
3703, 5577, 0, 1
3703, 5578, 0, 1
3703, 5579, 0, 1
3703, 5580, 0, 1
3703, 5581, 0, 1
3704, 5582, 0, 1
3704, 5583, 0, 1
3703, 5584, 0, 1
3703, 5585, 0, 1
3703, 5586, 0, 1
3703, 5587, 0, 1
3703, 5588, 0, 1
3702, 5589, 0, 1
3702, 5590, 0, 1
3702, 5591, 0, 1
3702, 5592, 0, 1
3702, 5593, 0, 1
3702, 5594, 0, 1
3702, 5595, 0, 1
3702, 5596, 0, 1
3702, 5597, 0, 1
3702, 5598, 0, 1
3702, 5599, 0, 1
3702, 5600, 0, 1
3702, 5601, 0, 1
3702, 5602, 0, 1
3702, 5603, 0, 1
3702, 5604, 0, 1
3702, 5605, 0, 1
3702, 5606, 0, 1
3702, 5607, 0, 1
3702, 5608, 0, 1
3702, 5609, 0, 1
3702, 5610, 0, 1
3702, 5611, 0, 1
3702, 5612, 0, 1
3702, 5613, 0, 1
3702, 5614, 0, 1
3702, 5615, 0, 1
3702, 5616, 0, 1
3702, 5617, 0, 1
3702, 5618, 0, 1
3702, 5619, 0, 1
3702, 5620, 0, 1
3702, 5621, 0, 1
3703, 5622, 0, 1
3703, 5623, 0, 1
3703, 5624, 0, 1
3703, 5625, 0, 1
3703, 5626, 0, 1
3703, 5627, 0, 1
3704, 5628, 0, 1
3704, 5629, 0, 1
3704, 5630, 0, 1
3704, 5631, 0, 1
3703, 5632, 0, 1
3703, 5633, 0, 1
3703, 5634, 0, 1
3703, 5635, 0, 1
3703, 5636, 0, 1
3702, 5637, 0, 1
3702, 5638, 0, 1
3702, 5639, 0, 1
3702, 5640, 0, 1
3702, 5641, 0, 1
3702, 5642, 0, 1
3702, 5643, 0, 1
3702, 5644, 0, 1
3702, 5645, 0, 1
3702, 5646, 0, 1
3702, 5647, 0, 1
3702, 5648, 0, 1
3702, 5649, 0, 1
3702, 5650, 0, 1
3702, 5651, 0, 1
3703, 5652, 0, 1
3703, 5653, 0, 1
3702, 5654, 0, 1
3702, 5655, 0, 1
3702, 5656, 0, 1
3702, 5657, 0, 1
3702, 5658, 0, 1
3702, 5659, 0, 1
3702, 5660, 0, 1
3702, 5661, 0, 1
3702, 5662, 0, 1
3702, 5663, 0, 1
3702, 5664, 0, 1
3702, 5665, 0, 1
3703, 5666, 0, 1
3703, 5667, 0, 1
3703, 5668, 0, 1
3703, 5669, 0, 1
3703, 5670, 0, 1
3703, 5671, 0, 1
3703, 5672, 0, 1
3703, 5673, 0, 1
3703, 5674, 0, 1
3703, 5675, 0, 1
3703, 5676, 0, 1
3703, 5677, 0, 1
3703, 5678, 0, 1
3703, 5679, 0, 1
3703, 5680, 0, 1
3703, 5681, 0, 1
3703, 5682, 0, 1
3703, 5683, 0, 1
3702, 5684, 0, 1
3702, 5685, 0, 1
3702, 5686, 0, 1
3702, 5687, 0, 1
3702, 5688, 0, 1
3703, 5689, 0, 1
3702, 5690, 0, 1
3702, 5691, 0, 1
3703, 5692, 0, 1
3703, 5693, 0, 1
3703, 5694, 0, 1
3703, 5695, 0, 1
3703, 5696, 0, 1
3703, 5697, 0, 1
3702, 5698, 0, 1
3702, 5699, 0, 1
3702, 5700, 0, 1
3702, 5701, 0, 1
3702, 5702, 0, 1
3702, 5703, 0, 1
3702, 5704, 0, 1
3702, 5705, 0, 1
3702, 5706, 0, 1
3702, 5707, 0, 1
3702, 5708, 0, 1
3702, 5709, 0, 1
3703, 5710, 0, 1
3703, 5711, 0, 1
3703, 5712, 0, 1
3703, 5713, 0, 1
3703, 5714, 0, 1
3703, 5715, 0, 1
3703, 5716, 0, 1
3703, 5717, 0, 1
3703, 5718, 0, 1
3703, 5719, 0, 1
3703, 5720, 0, 1
3703, 5721, 0, 1
3703, 5722, 0, 1
3703, 5723, 0, 1
3703, 5724, 0, 1
3703, 5725, 0, 1
3702, 5726, 0, 1
3703, 5727, 0, 1
3703, 5728, 0, 1
3702, 5729, 0, 1
3702, 5730, 0, 1
3702, 5731, 0, 1
3702, 5732, 0, 1
3702, 5733, 0, 1
3702, 5734, 0, 1
3702, 5735, 0, 1
3703, 5736, 0, 1
3703, 5737, 0, 1
3702, 5738, 0, 1
3703, 5739, 0, 1
3703, 5740, 0, 1
3702, 5741, 0, 1
3702, 5742, 0, 1
3703, 5743, 0, 1
3702, 5744, 0, 1
3702, 5745, 0, 1
3702, 5746, 0, 1
3702, 5747, 0, 1
3702, 5748, 0, 1
3702, 5749, 0, 1
3702, 5750, 0, 1
3702, 5751, 0, 1
3702, 5752, 0, 1
3702, 5753, 0, 1
3702, 5754, 0, 1
3702, 5755, 0, 1
3702, 5756, 0, 1
3703, 5757, 0, 1
3703, 5758, 0, 1
3703, 5759, 0, 1
3703, 5760, 0, 1
3703, 5761, 0, 1
3703, 5762, 0, 1
3703, 5763, 0, 1
3703, 5764, 0, 1
3703, 5765, 0, 1
3703, 5766, 0, 1
3703, 5767, 0, 1
3703, 5768, 0, 1
3703, 5769, 0, 1
3702, 5770, 0, 1
3702, 5771, 0, 1
3702, 5772, 0, 1
3702, 5773, 0, 1
3702, 5774, 0, 1
3702, 5775, 0, 1
3702, 5776, 0, 1
3703, 5777, 0, 1
3703, 5778, 0, 1
3703, 5779, 0, 1
3703, 5780, 0, 1
3703, 5781, 0, 1
3702, 5782, 0, 1
3703, 5783, 0, 1
3703, 5784, 0, 1
3703, 5785, 0, 1
3702, 5786, 0, 1
3702, 5787, 0, 1
3702, 5788, 0, 1
3702, 5789, 0, 1
3702, 5790, 0, 1
3702, 5791, 0, 1
3702, 5792, 0, 1
3702, 5793, 0, 1
3702, 5794, 0, 1
3702, 5795, 0, 1
3702, 5796, 0, 1
3703, 5797, 0, 1
3703, 5798, 0, 1
3703, 5799, 0, 1
3703, 5800, 0, 1
3703, 5801, 0, 1
3703, 5802, 0, 1
3703, 5803, 0, 1
3703, 5804, 0, 1
3703, 5805, 0, 1
3703, 5806, 0, 1
3703, 5807, 0, 1
3703, 5808, 0, 1
3703, 5809, 0, 1
3703, 5810, 0, 1
3703, 5811, 0, 1
3703, 5812, 0, 1
3703, 5813, 0, 1
3703, 5814, 0, 1
3703, 5815, 0, 1
3702, 5816, 0, 1
3702, 5817, 0, 1
3703, 5818, 0, 1
3703, 5819, 0, 1
3703, 5820, 0, 1
3703, 5821, 0, 1
3702, 5822, 0, 1
3702, 5823, 0, 1
3703, 5824, 0, 1
3703, 5825, 0, 1
3702, 5826, 0, 1
3702, 5827, 0, 1
3703, 5828, 0, 1
3703, 5829, 0, 1
3703, 5830, 0, 1
3703, 5831, 0, 1
3702, 5832, 0, 1
3702, 5833, 0, 1
3703, 5834, 0, 1
3703, 5835, 0, 1
3703, 5836, 0, 1
3703, 5837, 0, 1
3703, 5838, 0, 1
3703, 5839, 0, 1
3703, 5840, 0, 1
3703, 5841, 0, 1
3703, 5842, 0, 1
3703, 5843, 0, 1
3703, 5844, 0, 1
3703, 5845, 0, 1
3703, 5846, 0, 1
3703, 5847, 0, 1
3703, 5848, 0, 1
3703, 5849, 0, 1
3703, 5850, 0, 1
3703, 5851, 0, 1
3703, 5852, 0, 1
3703, 5853, 0, 1
3703, 5854, 0, 1
3703, 5855, 0, 1
3703, 5856, 0, 1
3703, 5857, 0, 1
3703, 5858, 0, 1
3703, 5859, 0, 1
3703, 5860, 0, 1
3702, 5861, 0, 1
3703, 5862, 0, 1
3703, 5863, 0, 1
3702, 5864, 0, 1
3703, 5865, 0, 1
3703, 5866, 0, 1
3702, 5867, 0, 1
3703, 5868, 0, 1
3702, 5869, 0, 1
3703, 5870, 0, 1
3703, 5871, 0, 1
3703, 5872, 0, 1
3702, 5873, 0, 1
3703, 5874, 0, 1
3703, 5875, 0, 1
3703, 5876, 0, 1
3703, 5877, 0, 1
3703, 5878, 0, 1
3703, 5879, 0, 1
3703, 5880, 0, 1
3702, 5881, 0, 1
3702, 5882, 0, 1
3702, 5883, 0, 1
3702, 5884, 0, 1
3703, 5885, 0, 1
3703, 5886, 0, 1
3703, 5887, 0, 1
3702, 5888, 0, 1
3703, 5889, 0, 1
3703, 5890, 0, 1
3703, 5891, 0, 1
3703, 5892, 0, 1
3703, 5893, 0, 1
3703, 5894, 0, 1
3703, 5895, 0, 1
3703, 5896, 0, 1
3703, 5897, 0, 1
3703, 5898, 0, 1
3703, 5899, 0, 1
3703, 5900, 0, 1
3703, 5901, 0, 1
3703, 5902, 0, 1
3703, 5903, 0, 1
3702, 5904, 0, 1
3702, 5905, 0, 1
3703, 5906, 0, 1
3703, 5907, 0, 1
3702, 5908, 0, 1
3702, 5909, 0, 1
3703, 5910, 0, 1
3703, 5911, 0, 1
3703, 5912, 0, 1
3702, 5913, 0, 1
3702, 5914, 0, 1
3703, 5915, 0, 1
3703, 5916, 0, 1
3703, 5917, 0, 1
3702, 5918, 0, 1
3702, 5919, 0, 1
3702, 5920, 0, 1
3702, 5921, 0, 1
3703, 5922, 0, 1
3703, 5923, 0, 1
3703, 5924, 0, 1
3703, 5925, 0, 1
3703, 5926, 0, 1
3703, 5927, 0, 1
3703, 5928, 0, 1
3702, 5929, 0, 1
3703, 5930, 0, 1
3703, 5931, 0, 1
3703, 5932, 0, 1
3702, 5933, 0, 1
3703, 5934, 0, 1
3703, 5935, 0, 1
3702, 5936, 0, 1
3703, 5937, 0, 1
3703, 5938, 0, 1
3703, 5939, 0, 1
3703, 5940, 0, 1
3702, 5941, 0, 1
3702, 5942, 0, 1
3702, 5943, 0, 1
3702, 5944, 0, 1
3702, 5945, 0, 1
3703, 5946, 0, 1
3703, 5947, 0, 1
3702, 5948, 0, 1
3703, 5949, 0, 1
3703, 5950, 0, 1
3703, 5951, 0, 1
3703, 5952, 0, 1
3702, 5953, 0, 1
3702, 5954, 0, 1
3703, 5955, 0, 1
3702, 5956, 0, 1
3702, 5957, 0, 1
3703, 5958, 0, 1
3703, 5959, 0, 1
3702, 5960, 0, 1
3702, 5961, 0, 1
3703, 5962, 0, 1
3703, 5963, 0, 1
3703, 5964, 0, 1
3703, 5965, 0, 1
3703, 5966, 0, 1
3702, 5967, 0, 1
3703, 5968, 0, 1
3703, 5969, 0, 1
3702, 5970, 0, 1
3702, 5971, 0, 1
3703, 5972, 0, 1
3703, 5973, 0, 1
3703, 5974, 0, 1
3703, 5975, 0, 1
3703, 5976, 0, 1
3703, 5977, 0, 1
