Raw Angle, Time, Match Flag, Started
2821, 2093, 0, 1
2819, 2094, 0, 1
2806, 2095, 0, 1
2778, 2096, 0, 1
2754, 2097, 0, 1
2659, 2098, 0, 1
2650, 2099, 0, 1
2730, 2100, 0, 1
2721, 2101, 0, 1
2711, 2102, 0, 1
2698, 2103, 0, 1
2685, 2104, 0, 1
2673, 2105, 0, 1
2662, 2106, 0, 1
2656, 2107, 0, 1
2642, 2108, 0, 1
2626, 2109, 0, 1
2615, 2110, 0, 1
2606, 2111, 0, 1
2594, 2112, 0, 1
2581, 2113, 0, 1
2569, 2114, 0, 1
2557, 2115, 0, 1
2545, 2116, 0, 1
2531, 2117, 0, 1
2519, 2118, 0, 1
2507, 2119, 0, 1
2496, 2120, 0, 1
2481, 2121, 0, 1
2467, 2122, 0, 1
2457, 2123, 0, 1
2444, 2124, 0, 1
2430, 2125, 0, 1
2417, 2126, 0, 1
2404, 2127, 0, 1
2391, 2128, 0, 1
2378, 2129, 0, 1
2364, 2130, 0, 1
2351, 2131, 0, 1
2337, 2132, 0, 1
2323, 2133, 0, 1
2309, 2134, 0, 1
2295, 2135, 0, 1
2281, 2136, 0, 1
2268, 2137, 0, 1
2253, 2138, 0, 1
2238, 2139, 0, 1
2225, 2140, 0, 1
2210, 2141, 0, 1
2195, 2142, 0, 1
2182, 2143, 0, 1
2167, 2144, 0, 1
2151, 2145, 0, 1
2138, 2146, 0, 1
2123, 2147, 0, 1
2107, 2148, 0, 1
2094, 2149, 0, 1
2079, 2150, 0, 1
2061, 2151, 0, 1
2048, 2152, 0, 1
2034, 2153, 0, 1
2017, 2154, 0, 1
2003, 2155, 0, 1
1989, 2156, 0, 1
1971, 2157, 0, 1
1957, 2158, 0, 1
1944, 2159, 0, 1
1927, 2160, 0, 1
1911, 2161, 0, 1
1899, 2162, 0, 1
1885, 2163, 0, 1
1870, 2164, 0, 1
1855, 2165, 0, 1
1840, 2166, 0, 1
1825, 2167, 0, 1
1810, 2168, 0, 1
1796, 2169, 0, 1
1780, 2170, 0, 1
1765, 2171, 0, 1
1751, 2172, 0, 1
1737, 2173, 0, 1
1721, 2174, 0, 1
1707, 2175, 0, 1
1693, 2176, 0, 1
1678, 2177, 0, 1
1665, 2178, 0, 1
1651, 2179, 0, 1
1636, 2180, 0, 1
1622, 2181, 0, 1
1609, 2182, 0, 1
1595, 2183, 0, 1
1581, 2184, 0, 1
1567, 2185, 0, 1
1553, 2186, 0, 1
1539, 2187, 0, 1
1526, 2188, 0, 1
1513, 2189, 0, 1
1499, 2190, 0, 1
1486, 2191, 0, 1
1473, 2192, 0, 1
1459, 2193, 0, 1
1446, 2194, 0, 1
1435, 2195, 0, 1
1422, 2196, 0, 1
1408, 2197, 0, 1
1397, 2198, 0, 1
1384, 2199, 0, 1
1370, 2200, 0, 1
1359, 2201, 0, 1
1347, 2202, 0, 1
1333, 2203, 0, 1
1322, 2204, 0, 1
1312, 2205, 0, 1
1299, 2206, 0, 1
1289, 2207, 0, 1
1278, 2208, 0, 1
1265, 2209, 0, 1
1253, 2210, 0, 1
1243, 2211, 0, 1
1230, 2212, 0, 1
1219, 2213, 0, 1
1209, 2214, 0, 1
1196, 2215, 0, 1
1185, 2216, 0, 1
1174, 2217, 0, 1
1162, 2218, 0, 1
1151, 2219, 0, 1
1140, 2220, 0, 1
1129, 2221, 0, 1
1118, 2222, 0, 1
1107, 2223, 0, 1
1097, 2224, 0, 1
1086, 2225, 0, 1
1075, 2226, 0, 1
1065, 2227, 0, 1
1054, 2228, 0, 1
1043, 2229, 0, 1
1032, 2230, 0, 1
1021, 2231, 0, 1
1010, 2232, 0, 1
1000, 2233, 0, 1
989, 2234, 0, 1
979, 2235, 0, 1
968, 2236, 0, 1
957, 2237, 0, 1
947, 2238, 0, 1
936, 2239, 0, 1
925, 2240, 0, 1
915, 2241, 0, 1
904, 2242, 0, 1
