=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 15:21:11 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Angle, Radian, Angular Velocity, Angular Acceleration, Time, Started
4090,-0.44,-0.01,-4.05,-2134.19,2264747.00,0
4090,-0.44,-0.01,0.00,878.70,2269352.00,0
4090,-0.44,-0.01,0.00,0.00,2273815.00,0
4090,-0.44,-0.01,0.00,0.00,2278099.00,0
4090,-0.44,-0.01,0.00,0.00,2282401.00,0
4090,-0.44,-0.01,0.00,0.00,2286694.00,0
4090,-0.44,-0.01,0.00,0.00,2291004.00,0
4090,-0.44,-0.01,0.00,0.00,2295320.00,0
4090,-0.44,-0.01,0.00,0.00,2299604.00,0
4090,-0.44,-0.01,0.00,0.00,2303905.00,0
4090,-0.44,-0.01,0.00,0.00,2308207.00,0
4090,-0.44,-0.01,0.00,0.00,2312510.00,0
4090,-0.44,-0.01,0.00,0.00,2316825.00,0
4090,-0.44,-0.01,0.00,0.00,2321109.00,0
4090,-0.44,-0.01,0.00,0.00,2325410.00,0
4090,-0.44,-0.01,0.00,0.00,2329720.00,0
4090,-0.44,-0.01,0.00,0.00,2334020.00,0
4090,-0.44,-0.01,0.00,0.00,2338335.00,0
4090,-0.44,-0.01,0.00,0.00,2342620.00,0
4090,-0.44,-0.01,0.00,0.00,2346918.00,0
4090,-0.44,-0.01,0.00,0.00,2351254.00,0
4090,-0.44,-0.01,0.00,0.00,2355547.00,0
4090,-0.44,-0.01,0.00,0.00,2359859.00,0
4090,-0.44,-0.01,0.00,0.00,2364176.00,0
4090,-0.44,-0.01,0.00,0.00,2368475.00,0
4090,-0.44,-0.01,0.00,0.00,2372775.00,0
4090,-0.44,-0.01,0.00,0.00,2377078.00,0
4090,-0.44,-0.01,0.00,0.00,2381372.00,0
4090,-0.44,-0.01,0.00,0.00,2385696.00,0
4090,-0.44,-0.01,0.00,0.00,2389994.00,0
4090,-0.44,-0.01,0.00,0.00,2394303.00,0
4090,-0.44,-0.01,0.00,0.00,2398621.00,0
4090,-0.44,-0.01,0.00,0.00,2402905.00,0
4090,-0.44,-0.01,0.00,0.00,2407199.00,0
4090,-0.44,-0.01,0.00,0.00,2411504.00,0
4090,-0.44,-0.01,0.00,0.00,2415813.00,0
4090,-0.44,-0.01,0.00,0.00,2420131.00,0
4090,-0.44,-0.01,0.00,0.00,2424416.00,0
4090,-0.44,-0.01,0.00,0.00,2428709.00,0
4090,-0.44,-0.01,0.00,0.00,2433020.00,0
4090,-0.44,-0.01,0.00,0.00,2437319.00,0
4090,-0.44,-0.01,0.00,0.00,2441629.00,0
4090,-0.44,-0.01,0.00,0.00,2445913.00,0
4090,-0.44,-0.01,0.00,0.00,2450207.00,0
4090,-0.44,-0.01,0.00,0.00,2454512.00,0
4090,-0.44,-0.01,0.00,0.00,2458821.00,0
4090,-0.44,-0.01,0.00,0.00,2463115.00,0
4090,-0.35,-0.01,0.36,82.99,2467415.00,0
4090,-0.44,-0.01,-0.34,-156.90,2471880.00,0
4090,-0.44,-0.01,0.00,76.12,2476395.00,0
4090,-0.44,-0.01,0.00,0.00,2480815.00,0
4090,-0.44,-0.01,0.00,0.00,2485137.00,0
4090,-0.44,-0.01,0.00,0.00,2489427.00,0
4090,-0.44,-0.01,0.00,0.00,2493741.00,0
4090,-0.44,-0.01,0.00,0.00,2498056.00,0
4090,-0.44,-0.01,0.00,0.00,2502351.00,0
4090,-0.44,-0.01,0.00,0.00,2506659.00,0
4090,-0.44,-0.01,0.00,0.00,2510952.00,0
4090,-0.44,-0.01,0.00,0.00,2515261.00,0
4090,-0.44,-0.01,0.00,0.00,2519577.00,0
4090,-0.44,-0.01,0.00,0.00,2523861.00,0
4090,-0.44,-0.01,0.00,0.00,2528161.00,0
4090,-0.44,-0.01,0.00,0.00,2532455.00,0
4090,-0.44,-0.01,0.00,0.00,2536765.00,0
4090,-0.44,-0.01,0.00,0.00,2541081.00,0
4090,-0.44,-0.01,0.00,0.00,2545366.00,0
4090,-0.44,-0.01,0.00,0.00,2549666.00,0
4090,-0.44,-0.01,0.00,0.00,2553968.00,0
4090,-0.44,-0.01,0.00,0.00,2558277.00,0
4090,-0.44,-0.01,0.00,0.00,2562592.00,0
4090,-0.44,-0.01,0.00,0.00,2566876.00,0
4090,-0.44,-0.01,0.00,0.00,2571176.00,0
4090,-0.44,-0.01,0.00,0.00,2575472.00,0
4090,-0.44,-0.01,0.00,0.00,2579773.00,0
4090,-0.44,-0.01,0.00,0.00,2584088.00,0
4090,-0.44,-0.01,0.00,0.00,2588373.00,0
4090,-0.44,-0.01,0.00,0.00,2592673.00,0
4090,-0.44,-0.01,0.00,0.00,2596967.00,0
4090,-0.44,-0.01,0.00,0.00,2601281.00,0
4090,-0.44,-0.01,0.00,0.00,2605596.00,0
4090,-0.44,-0.01,0.00,0.00,2609880.00,0
4090,-0.44,-0.01,0.00,0.00,2614179.00,0
4090,-0.44,-0.01,0.00,0.00,2618473.00,0
4090,-0.44,-0.01,0.00,0.00,2622782.00,0
4090,-0.44,-0.01,0.00,0.00,2627098.00,0
4090,-0.44,-0.01,0.00,0.00,2631382.00,0
4090,-0.44,-0.01,0.00,0.00,2635681.00,0
4090,-0.44,-0.01,0.00,0.00,2639974.00,0
4090,-0.44,-0.01,0.00,0.00,2644289.00,0
4090,-0.44,-0.01,0.00,0.00,2648605.00,0
4090,-0.44,-0.01,0.00,0.00,2652888.00,0
4090,-0.44,-0.01,0.00,0.00,2657187.00,0
4090,-0.44,-0.01,0.00,0.00,2661480.00,0
4090,-0.44,-0.01,0.00,0.00,2665790.00,0
4090,-0.44,-0.01,0.00,0.00,2670096.00,0
4090,-0.44,-0.01,0.00,0.00,2674385.00,0
4090,-0.44,-0.01,0.00,0.00,2678693.00,0
4090,-0.44,-0.01,0.00,0.00,2682992.00,0
4090,-0.44,-0.01,0.00,0.00,2687293.00,0
4090,-0.44,-0.01,0.00,0.00,2691608.00,0
4090,-0.44,-0.01,0.00,0.00,2695892.00,0
4090,-0.44,-0.01,0.00,0.00,2700193.00,0
4090,-0.44,-0.01,0.00,0.00,2704486.00,0
4090,-0.44,-0.01,0.00,0.00,2708796.00,0
4090,-0.44,-0.01,0.00,0.00,2713111.00,0
4090,-0.44,-0.01,0.00,0.00,2717396.00,0
4090,-0.44,-0.01,0.00,0.00,2721703.00,0
4090,-0.44,-0.01,0.00,0.00,2726000.00,0
4090,-0.44,-0.01,0.00,0.00,2730301.00,0
4090,-0.44,-0.01,0.00,0.00,2734616.00,0
4090,-0.44,-0.01,0.00,0.00,2738901.00,0
4090,-0.44,-0.01,0.00,0.00,2743202.00,0
4090,-0.44,-0.01,0.00,0.00,2747495.00,0
4090,-0.44,-0.01,0.00,0.00,2751806.00,0
4090,-0.44,-0.01,0.00,0.00,2756121.00,0
4090,-0.44,-0.01,0.00,0.00,2760405.00,0
4090,-0.44,-0.01,0.00,0.00,2764706.00,0
4090,-0.44,-0.01,0.00,0.00,2769008.00,0
4090,-0.44,-0.01,0.00,0.00,2773310.00,0
4090,-0.44,-0.01,0.00,0.00,2777617.00,0
4090,-0.44,-0.01,0.00,0.00,2781905.00,0
4090,-0.44,-0.01,0.00,0.00,2786213.00,0
4090,-0.44,-0.01,0.00,0.00,2790512.00,0
4090,-0.44,-0.01,0.00,0.00,2794813.00,0
4090,-0.44,-0.01,0.00,0.00,2799120.00,0
4090,-0.44,-0.01,0.00,0.00,2803408.00,0
4090,-0.44,-0.01,0.00,0.00,2807716.00,0
4090,-0.44,-0.01,0.00,0.00,2812009.00,0
4090,-0.44,-0.01,0.00,0.00,2816318.00,0
4090,-0.44,-0.01,0.00,0.00,2820633.00,0
4090,-0.44,-0.01,0.00,0.00,2824918.00,0
4090,-0.44,-0.01,0.00,0.00,2829218.00,0
4090,-0.44,-0.01,0.00,0.00,2833511.00,0
4090,-0.44,-0.01,0.00,0.00,2837821.00,0
4090,-0.44,-0.01,0.00,0.00,2842136.00,0
4090,-0.44,-0.01,0.00,0.00,2846420.00,0
4090,-0.44,-0.01,0.00,0.00,2850733.00,0
4090,-0.44,-0.01,0.00,0.00,2855054.00,0
4090,-0.44,-0.01,0.00,0.00,2859352.00,0
4090,-0.44,-0.01,0.00,0.00,2863655.00,0
4090,-0.44,-0.01,0.00,0.00,2867940.00,0
4090,-0.44,-0.01,0.00,0.00,2872244.00,0
4090,-0.44,-0.01,0.00,0.00,2876566.00,0
4090,-0.44,-0.01,0.00,0.00,2880853.00,0
4090,-0.44,-0.01,0.00,0.00,2885155.00,0
4090,-0.44,-0.01,0.00,0.00,2889439.00,0
4090,-0.44,-0.01,0.00,0.00,2893740.00,0
4090,-0.44,-0.01,0.00,0.00,2898033.00,0
4090,-0.44,-0.01,0.00,0.00,2902334.00,0
4090,-0.44,-0.01,0.00,0.00,2906648.00,0
4090,-0.44,-0.01,0.00,0.00,2910932.00,0
4090,-0.44,-0.01,0.00,0.00,2915245.00,0
4090,-0.44,-0.01,0.00,0.00,2919537.00,0
4090,-0.44,-0.01,0.00,0.00,2923837.00,0
4090,-0.44,-0.01,0.00,0.00,2928152.00,0
4090,-0.44,-0.01,0.00,0.00,2932436.00,0
4090,-0.44,-0.01,0.00,0.00,2936749.00,0
4090,-0.44,-0.01,0.00,0.00,2941040.00,0
4090,-0.44,-0.01,0.00,0.00,2945342.00,0
4090,-0.44,-0.01,0.00,0.00,2949657.00,0
4090,-0.44,-0.01,0.00,0.00,2953941.00,0
4090,-0.44,-0.01,0.00,0.00,2958242.00,0
4090,-0.44,-0.01,0.00,0.00,2962553.00,0
4090,-0.44,-0.01,0.00,0.00,2966852.00,0
4090,-0.44,-0.01,0.00,0.00,2971168.00,0
4090,-0.44,-0.01,0.00,0.00,2975453.00,0
4090,-0.44,-0.01,0.00,0.00,2979751.00,0
4090,-0.44,-0.01,0.00,0.00,2984072.00,0
4090,-0.44,-0.01,0.00,0.00,2988361.00,0
4090,-0.44,-0.01,0.00,0.00,2992676.00,0
4090,-0.44,-0.01,0.00,0.00,2996961.00,0
4090,-0.44,-0.01,0.00,0.00,3001268.00,0
4090,-0.44,-0.01,0.00,0.00,3005557.00,0
4090,-0.44,-0.01,0.00,0.00,3009866.00,0
4090,-0.44,-0.01,0.00,0.00,3014181.00,0
4090,-0.44,-0.01,0.00,0.00,3018465.00,0
4090,-0.44,-0.01,0.00,0.00,3022766.00,0
4090,-0.44,-0.01,0.00,0.00,3027086.00,0
4090,-0.44,-0.01,0.00,0.00,3031389.00,0
4090,-0.44,-0.01,0.00,0.00,3035700.00,0
4090,-0.44,-0.01,0.00,0.00,3040017.00,0
4090,-0.44,-0.01,0.00,0.00,3044316.00,0
4090,-0.44,-0.01,0.00,0.00,3048616.00,0
4090,-0.44,-0.01,0.00,0.00,3052926.00,0
4090,-0.44,-0.01,0.00,0.00,3057220.00,0
4090,-0.44,-0.01,0.00,0.00,3061536.00,0
4090,-0.44,-0.01,0.00,0.00,3065840.00,0
4090,-0.44,-0.01,0.00,0.00,3070140.00,0
4090,-0.44,-0.01,0.00,0.00,3074458.00,0
4090,-0.44,-0.01,0.00,0.00,3078743.00,0
4090,-0.44,-0.01,0.00,0.00,3083037.00,0
4090,-0.44,-0.01,0.00,0.00,3087336.00,0
4090,-0.44,-0.01,0.00,0.00,3091644.00,0
4090,-0.44,-0.01,0.00,0.00,3095962.00,0
4090,-0.44,-0.01,0.00,0.00,3100246.00,0
4090,-0.44,-0.01,0.00,0.00,3104541.00,0
4090,-0.44,-0.01,0.00,0.00,3108840.00,0
4090,-0.44,-0.01,0.00,0.00,3113148.00,0
4090,-0.44,-0.01,0.00,0.00,3117466.00,0
4090,-0.44,-0.01,0.00,0.00,3121751.00,0
4090,-0.44,-0.01,0.00,0.00,3126045.00,0
4090,-0.44,-0.01,0.00,0.00,3130343.00,0
4090,-0.44,-0.01,0.00,0.00,3134652.00,0
4090,-0.44,-0.01,0.00,0.00,3138971.00,0
4090,-0.44,-0.01,0.00,0.00,3143255.00,0
4090,-0.44,-0.01,0.00,0.00,3147549.00,0
4090,-0.44,-0.01,0.00,0.00,3151855.00,0
4090,-0.44,-0.01,0.00,0.00,3156165.00,0
4090,-0.44,-0.01,0.00,0.00,3160484.00,0
4090,-0.44,-0.01,0.00,0.00,3164768.00,0
4090,-0.44,-0.01,0.00,0.00,3169078.00,0
4090,-0.44,-0.01,0.00,0.00,3173402.00,0
4090,-0.44,-0.01,0.00,0.00,3177717.00,0
4090,-0.44,-0.01,0.00,0.00,3182011.00,0
4090,-0.44,-0.01,0.00,0.00,3186299.00,0
4090,-0.44,-0.01,0.00,0.00,3190592.00,0
4090,-0.44,-0.01,0.00,0.00,3194917.00,0
4090,-0.44,-0.01,0.00,0.00,3199238.00,0
4090,-0.44,-0.01,0.00,0.00,3203527.00,0
4090,-0.44,-0.01,0.00,0.00,3207833.00,0
4090,-0.44,-0.01,0.00,0.00,3212117.00,0
4090,-0.44,-0.01,0.00,0.00,3216412.00,0
4090,-0.44,-0.01,0.00,0.00,3220712.00,0
4090,-0.44,-0.01,0.00,0.00,3225012.00,0
4090,-0.44,-0.01,0.00,0.00,3229301.00,0
4090,-0.44,-0.01,0.00,0.00,3233594.00,0
4090,-0.44,-0.01,0.00,0.00,3237910.00,0
4090,-0.44,-0.01,0.00,0.00,3242208.00,0
4090,-0.44,-0.01,0.00,0.00,3246501.00,0
4090,-0.44,-0.01,0.00,0.00,3250785.00,0
4090,-0.44,-0.01,0.00,0.00,3255093.00,0
