=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.04 15:39:28 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Time, Started
4090,1953642,0
4090,1955395,0
4090,1957131,0
4090,1958865,0
4090,1960597,0
4090,1962342,0
4090,1964082,0
4090,1965804,0
4090,1967546,0
4090,1969278,0
4090,1971023,0
4090,1972773,0
4090,1974494,0
4090,1976238,0
4090,1977971,0
4090,1979723,0
4090,1981468,0
4090,1983208,0
4090,1984953,0
4090,1986676,0
4090,1988417,0
4090,1990159,0
4090,1991896,0
4090,1993630,0
4090,1995370,0
4090,1997123,0
4090,1998846,0
4090,2000576,0
4090,2002310,0
4090,2004050,0
4090,2005799,0
4090,2007535,0
4090,2009265,0
4090,2010994,0
4090,2012744,0
4090,2014486,0
4090,2016232,0
4090,2017977,0
4090,2019709,0
4090,2021439,0
4090,2023163,0
4090,2024905,0
4090,2026640,0
4090,2028385,0
4090,2030134,0
4090,2031856,0
4090,2033601,0
4090,2035323,0
4090,2037071,0
4090,2038823,0
4090,2040557,0
4090,2042302,0
4090,2044025,0
4090,2045763,0
4090,2047508,0
4090,2049243,0
4090,2050977,0
4090,2052720,0
4090,2054472,0
4090,2056192,0
4090,2057914,0
4090,2059649,0
4090,2061393,0
4090,2063142,0
4090,2064875,0
4090,2066604,0
4090,2068338,0
4090,2070090,0
4090,2071834,0
4090,2073575,0
4090,2075318,0
4090,2077052,0
4090,2078782,0
4090,2080502,0
4090,2082246,0
4090,2083980,0
4090,2085724,0
4090,2087476,0
4090,2089196,0
4090,2090938,0
4090,2092660,0
4090,2094414,0
4090,2096165,0
4090,2097897,0
4090,2099639,0
4090,2101360,0
4090,2103109,0
4090,2104850,0
4090,2106585,0
4090,2108319,0
4090,2110059,0
4090,2111810,0
4090,2113532,0
4090,2115261,0
4090,2116994,0
4090,2118738,0
4090,2120487,0
4090,2122219,0
4090,2123949,0
4090,2125681,0
4090,2127432,0
4090,2129174,0
4090,2130907,0
4090,2132641,0
4090,2134380,0
4090,2136120,0
4090,2137840,0
4090,2139581,0
4090,2141315,0
4090,2143060,0
4090,2144811,0
4090,2146532,0
4090,2148273,0
4090,2150003,0
4090,2151755,0
4090,2153499,0
4090,2155239,0
4090,2156981,0
4090,2158702,0
4090,2160449,0
4090,2162191,0
4090,2163923,0
4090,2165657,0
4090,2167402,0
4090,2169153,0
4090,2170874,0
4090,2172607,0
4090,2174338,0
4090,2176083,0
4090,2177828,0
4090,2179563,0
4090,2181292,0
4090,2183026,0
4090,2184775,0
4090,2186520,0
4090,2188252,0
4090,2189986,0
4090,2191731,0
4090,2193471,0
4090,2195191,0
4090,2196936,0
4090,2198671,0
4090,2200415,0
4090,2202167,0
4090,2203887,0
4090,2205629,0
4090,2207351,0
4090,2209098,0
4090,2210840,0
4090,2212583,0
4090,2214325,0
4090,2216047,0
4090,2217793,0
4090,2219535,0
4090,2221268,0
4090,2223000,0
4090,2224745,0
4090,2226494,0
4090,2228218,0
4090,2229950,0
4090,2231684,0
4090,2233426,0
4090,2235176,0
4090,2236912,0
4090,2238643,0
4090,2240370,0
4090,2242121,0
4090,2243863,0
4090,2245605,0
4090,2247344,0
4090,2249084,0
4090,2250814,0
4090,2252534,0
4090,2254279,0
4090,2256013,0
4090,2257754,0
4090,2259506,0
4090,2261226,0
4090,2262968,0
4090,2264690,0
4090,2266441,0
4090,2268183,0
4090,2269915,0
4090,2271650,0
4090,2273383,0
4090,2275134,0
4090,2276877,0
4090,2278610,0
4090,2280344,0
4090,2282088,0
4090,2283839,0
4090,2285560,0
4090,2287290,0
4090,2289025,0
4090,2290766,0
4090,2292509,0
4090,2294247,0
4090,2295976,0
4090,2297714,0
4090,2299465,0
4090,2301207,0
4090,2302950,0
4090,2304691,0
4090,2306427,0
4090,2308161,0
4090,2309881,0
4090,2311622,0
4090,2313357,0
4090,2315099,0
4090,2316851,0
4090,2318571,0
4090,2320312,0
4090,2322034,0
4090,2323786,0
4090,2325527,0
4090,2327270,0
4090,2329010,0
4090,2330735,0
4090,2332481,0
4090,2334223,0
4090,2335957,0
4090,2337689,0
4090,2339433,0
4090,2341185,0
4090,2342908,0
4090,2344640,0
4090,2346374,0
4090,2348116,0
4090,2349868,0
4090,2351604,0
4090,2353335,0
4090,2355059,0
4090,2356812,0
4090,2358564,0
4090,2360299,0
4090,2362041,0
4090,2363775,0
4090,2365508,0
4090,2367229,0
4090,2368971,0
4090,2370702,0
4090,2372444,0
4090,2374196,0
4090,2375921,0
4090,2377662,0
4090,2379382,0
4090,2381134,0
4090,2382885,0
4090,2384618,0
4090,2386360,0
4090,2388080,0
4090,2389829,0
4090,2391575,0
4090,2393308,0
4090,2395044,0
4090,2396788,0
4090,2398539,0
4090,2400269,0
4090,2401989,0
4090,2403723,0
4090,2405468,0
4090,2407220,0
4090,2408952,0
4090,2410682,0
4090,2412404,0
4090,2414158,0
4090,2415910,0
4090,2417647,0
4090,2419388,0
4090,2421122,0
4090,2422850,0
4090,2424570,0
4090,2426312,0
4090,2428045,0
4090,2429789,0
4090,2431539,0
4090,2433261,0
4090,2435005,0
4090,2436727,0
4090,2438474,0
4090,2440216,0
4090,2441959,0
4090,2443701,0
4090,2445424,0
4090,2447173,0
4090,2448919,0
4090,2450652,0
4090,2452384,0
4090,2454129,0
4090,2455882,0
4090,2457612,0
4090,2459331,0
4090,2461065,0
4090,2462807,0
4090,2464558,0
4090,2466290,0
4090,2468020,0
4090,2469746,0
4090,2471497,0
4090,2473239,0
4090,2474982,0
4090,2476722,0
4090,2478459,0
4090,2480194,0
4090,2481916,0
4090,2483658,0
4090,2485392,0
4090,2487137,0
4090,2488886,0
4090,2490606,0
4090,2492348,0
4090,2494070,0
4090,2495823,0
4090,2497575,0
4090,2499309,0
4090,2501050,0
4090,2502772,0
4090,2504514,0
4090,2506256,0
4090,2507991,0
4090,2509727,0
4090,2511471,0
4090,2513223,0
4090,2514953,0
4090,2516677,0
4090,2518411,0
4090,2520151,0
4090,2521903,0
4090,2523636,0
4090,2525366,0
4090,2527091,0
4090,2528843,0
4090,2530585,0
4090,2532328,0
4090,2534073,0
4090,2535809,0
4090,2537539,0
4090,2539263,0
4090,2541005,0
4090,2542737,0
4090,2544479,0
4090,2546232,0
4090,2547953,0
4090,2549698,0
4090,2551423,0
4090,2553166,0
4090,2554909,0
4090,2556647,0
4090,2558390,0
4090,2560114,0
4090,2561860,0
4090,2563603,0
4090,2565337,0
4090,2567071,0
4090,2568815,0
4090,2570563,0
4090,2572283,0
4090,2574014,0
4090,2575746,0
4090,2577487,0
4090,2579236,0
4090,2580969,0
4090,2582698,0
4090,2584434,0
4090,2586185,0
4090,2587927,0
4090,2589672,0
4090,2591416,0
4090,2593148,0
4090,2594877,0
4090,2596598,0
4090,2598340,0
4090,2600074,0
4090,2601818,0
4090,2603570,0
4090,2605290,0
4090,2607035,0
4090,2608754,0
4090,2610506,0
4090,2612248,0
4090,2613981,0
4090,2615715,0
4090,2617448,0
4090,2619200,0
4090,2620941,0
4090,2622675,0
4090,2624406,0
4090,2626146,0
4090,2627895,0
4090,2629615,0
4090,2631346,0
4090,2633082,0
4090,2634826,0
4090,2636567,0
4090,2638300,0
4090,2640022,0
4090,2641752,0
4090,2643504,0
4090,2645236,0
4090,2646978,0
4090,2648712,0
4090,2650451,0
4090,2652190,0
4090,2653917,0
4090,2655649,0
4090,2657393,0
4090,2659145,0
4090,2660887,0
4090,2662607,0
4090,2664328,0
4090,2666066,0
4090,2667814,0
4090,2669546,0
4090,2671288,0
