=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.02 16:40:11 =~=~=~=~=~=~=~=~=~=~=~=
182343888.00,---------
Raw Input, Angle, Time, Started
76,6.68,4512005.00,0
76,6.68,4513629.00,0
76,6.68,4515263.00,0
76,6.68,4516888.00,0
76,6.68,4518523.00,0
76,6.68,4520158.00,0
76,6.68,4521784.00,0
76,6.68,4523412.00,0
76,6.68,4525033.00,0
76,6.68,4526667.00,0
76,6.68,4528296.00,0
76,6.68,4529931.00,0
76,6.68,4531561.00,0
76,6.68,4533193.00,0
76,6.68,4534818.00,0
76,6.68,4536456.00,0
76,6.68,4538085.00,0
76,6.68,4539712.00,0
76,6.68,4541338.00,0
76,6.68,4542984.00,0
76,6.68,4544617.00,0
76,6.68,4546252.00,0
76,6.68,4547875.00,0
76,6.68,4549509.00,0
76,6.68,4551140.00,0
76,6.68,4552770.00,0
76,6.68,4554396.00,0
76,6.59,4556043.00,0
76,6.68,4557676.00,0
76,6.68,4559312.00,0
76,6.68,4560938.00,0
76,6.68,4562571.00,0
76,6.68,4564207.00,0
76,6.68,4565836.00,0
76,6.68,4567460.00,0
75,6.59,4569100.00,0
76,6.68,4570744.00,0
76,6.68,4572383.00,0
76,6.68,4574013.00,0
76,6.68,4575640.00,0
76,6.68,4577275.00,0
76,6.68,4578916.00,0
76,6.68,4580551.00,0
75,6.59,4582182.00,0
76,6.68,4583823.00,0
76,6.68,4585440.00,0
76,6.68,4587062.00,0
76,6.68,4588697.00,0
76,6.68,4590331.00,0
76,6.68,4591963.00,0
75,6.59,4593595.00,0
76,6.68,4595225.00,0
76,6.68,4596871.00,0
76,6.68,4598499.00,0
76,6.68,4600130.00,0
75,6.59,4601760.00,0
76,6.68,4603403.00,0
76,6.68,4605035.00,0
76,6.68,4606673.00,0
76,6.68,4608299.00,0
76,6.68,4609931.00,0
76,6.68,4611571.00,0
76,6.68,4613199.00,0
76,6.68,4614831.00,0
76,6.68,4616468.00,0
75,6.59,4618104.00,0
76,6.59,4619739.00,0
76,6.68,4621367.00,0
76,6.68,4622998.00,0
76,6.68,4624640.00,0
76,6.68,4626267.00,0
76,6.68,4627902.00,0
75,6.59,4629530.00,0
76,6.68,4631167.00,0
76,6.68,4632803.00,0
76,6.68,4634434.00,0
76,6.68,4636059.00,0
75,6.59,4637702.00,0
75,6.68,4639341.00,0
76,6.68,4640977.00,0
76,6.68,4642597.00,0
76,6.68,4644237.00,0
76,6.68,4645851.00,0
76,6.68,4647476.00,0
76,6.68,4649113.00,0
76,6.68,4650748.00,0
76,6.68,4652378.00,0
76,6.68,4654005.00,0
75,6.68,4655637.00,0
75,6.68,4657273.00,0
76,6.68,4658911.00,0
76,6.68,4660543.00,0
76,6.68,4662167.00,0
76,6.68,4663813.00,0
76,6.68,4665444.00,0
76,6.68,4667082.00,0
76,6.68,4668708.00,0
76,6.68,4670345.00,0
76,6.68,4671981.00,0
76,6.68,4673614.00,0
76,6.68,4675244.00,0
76,6.68,4676881.00,0
76,6.68,4678515.00,0
76,6.68,4680152.00,0
76,6.68,4681777.00,0
76,6.68,4683406.00,0
76,6.68,4685049.00,0
76,6.68,4686680.00,0
76,6.68,4688305.00,0
76,6.68,4689932.00,0
76,6.68,4691571.00,0
76,6.68,4693205.00,0
76,6.68,4694830.00,0
76,6.68,4696460.00,0
76,6.68,4698076.00,0
76,6.68,4699701.00,0
76,6.68,4701336.00,0
76,6.68,4702969.00,0
76,6.68,4704602.00,0
76,6.68,4706228.00,0
76,6.68,4707861.00,0
76,6.68,4709497.00,0
76,6.68,4711133.00,0
76,6.68,4712767.00,0
76,6.68,4714392.00,0
76,6.68,4716039.00,0
76,6.68,4717668.00,0
76,6.68,4719306.00,0
76,6.68,4720932.00,0
76,6.68,4722567.00,0
76,6.68,4724198.00,0
76,6.68,4725827.00,0
76,6.68,4727452.00,0
76,6.68,4729094.00,0
76,6.68,4730725.00,0
76,6.68,4732362.00,0
76,6.68,4733986.00,0
76,6.68,4735615.00,0
76,6.68,4737251.00,0
76,6.68,4738883.00,0
76,6.68,4740509.00,0
76,6.68,4742139.00,0
76,6.68,4743770.00,0
76,6.68,4745402.00,0
76,6.68,4747029.00,0
76,6.68,4748671.00,0
76,6.68,4750296.00,0
76,6.68,4751922.00,0
76,6.68,4753559.00,0
76,6.68,4755194.00,0
76,6.68,4756826.00,0
76,6.68,4758452.00,0
76,6.68,4760085.00,0
76,6.68,4761715.00,0
76,6.68,4763352.00,0
76,6.68,4764980.00,0
76,6.68,4766611.00,0
76,6.68,4768253.00,0
76,6.68,4769883.00,0
76,6.68,4771518.00,0
75,6.68,4773150.00,0
76,6.68,4774780.00,0
76,6.68,4776416.00,0
76,6.68,4778045.00,0
76,6.68,4779670.00,0
76,6.68,4781317.00,0
75,6.59,4782953.00,0
76,6.68,4784594.00,0
76,6.68,4786221.00,0
76,6.68,4787851.00,0
76,6.68,4789487.00,0
76,6.68,4791117.00,0
76,6.68,4792739.00,0
76,6.68,4794373.00,0
76,6.68,4796010.00,0
76,6.68,4797647.00,0
75,6.68,4799273.00,0
76,6.68,4800907.00,0
76,6.68,4802524.00,0
76,6.68,4804149.00,0
76,6.68,4805782.00,0
76,6.68,4807413.00,0
76,6.68,4809049.00,0
76,6.68,4810675.00,0
76,6.68,4812308.00,0
76,6.68,4813942.00,0
76,6.68,4815578.00,0
76,6.68,4817204.00,0
76,6.68,4818835.00,0
76,6.68,4820474.00,0
76,6.68,4822104.00,0
76,6.68,4823742.00,0
76,6.68,4825374.00,0
76,6.68,4827007.00,0
76,6.68,4828642.00,0
76,6.68,4830272.00,0
75,6.59,4831904.00,0
76,6.68,4833549.00,0
76,6.68,4835178.00,0
76,6.68,4836814.00,0
76,6.68,4838434.00,0
76,6.68,4840063.00,0
76,6.68,4841698.00,0
76,6.68,4843325.00,0
76,6.68,4844950.00,0
76,6.59,4846597.00,0
75,6.68,4848237.00,0
76,6.68,4849875.00,0
76,6.68,4851500.00,0
76,6.68,4853133.00,0
76,6.68,4854748.00,0
76,6.68,4856375.00,0
76,6.68,4858008.00,0
76,6.68,4859643.00,0
76,6.68,4861275.00,0
76,6.68,4862902.00,0
76,6.68,4864533.00,0
76,6.68,4866168.00,0
76,6.68,4867805.00,0
76,6.68,4869439.00,0
76,6.68,4871063.00,0
76,6.68,4872709.00,0
76,6.68,4874340.00,0
76,6.68,4875977.00,0
76,6.68,4877603.00,0
76,6.68,4879239.00,0
76,6.68,4880875.00,0
76,6.68,4882505.00,0
76,6.68,4884130.00,0
76,6.68,4885772.00,0
76,6.68,4887403.00,0
76,6.68,4889040.00,0
76,6.68,4890666.00,0
76,6.68,4892299.00,0
75,6.59,4893943.00,0
76,6.68,4895580.00,0
76,6.68,4897216.00,0
76,6.68,4898843.00,0
76,6.68,4900477.00,0
76,6.68,4902113.00,0
76,6.68,4903744.00,0
76,6.68,4905371.00,0
76,6.68,4907001.00,0
76,6.68,4908633.00,0
76,6.68,4910267.00,0
76,6.68,4911894.00,0
76,6.68,4913541.00,0
76,6.68,4915160.00,0
76,6.59,4916792.00,0
76,6.68,4918428.00,0
76,6.68,4920060.00,0
76,6.68,4921690.00,0
76,6.68,4923314.00,0
76,6.68,4924948.00,0
76,6.68,4926581.00,0
76,6.68,4928216.00,0
76,6.68,4929841.00,0
76,6.68,4931470.00,0
76,6.68,4933110.00,0
76,6.68,4934739.00,0
76,6.68,4936369.00,0
76,6.68,4938005.00,0
76,6.68,4939640.00,0
76,6.68,4941276.00,0
76,6.68,4942901.00,0
76,6.68,4944533.00,0
76,6.68,4946169.00,0
76,6.68,4947800.00,0
76,6.68,4949425.00,0
76,6.68,4951053.00,0
76,6.68,4952695.00,0
76,6.68,4954330.00,0
76,6.68,4955956.00,0
76,6.68,4957588.00,0
76,6.68,4959210.00,0
76,6.68,4960843.00,0
76,6.68,4962472.00,0
76,6.68,4964105.00,0
76,6.68,4965734.00,0
76,6.68,4967363.00,0
76,6.68,4968988.00,0
76,6.68,4970632.00,0
76,6.68,4972260.00,0
76,6.68,4973888.00,0
76,6.68,4975515.00,0
76,6.68,4977157.00,0
76,6.68,4978787.00,0
76,6.68,4980424.00,0
76,6.68,4982051.00,0
76,6.68,4983686.00,0
76,6.68,4985318.00,0
76,6.68,4986954.00,0
76,6.68,4988578.00,0
75,6.59,4990224.00,0
76,6.68,4991859.00,0
76,6.68,4993497.00,0
76,6.68,4995123.00,0
76,6.68,4996756.00,0
76,6.68,4998396.00,0
76,6.68,5000025.00,0
76,6.68,5001650.00,0
76,6.68,5003281.00,0
76,6.68,5004923.00,0
76,6.68,5006559.00,0
76,6.68,5008190.00,0
76,6.68,5009814.00,0
76,6.68,5011448.00,0
76,6.68,5013080.00,0
76,6.68,5014712.00,0
76,6.68,5016338.00,0
75,6.59,5017989.00,0
76,6.59,5019608.00,0
75,6.68,5021237.00,0
76,6.68,5022873.00,0
76,6.68,5024508.00,0
76,6.68,5026138.00,0
76,6.68,5027763.00,0
76,6.68,5029396.00,0
76,6.68,5031029.00,0
76,6.68,5032666.00,0
76,6.68,5034291.00,0
76,6.68,5035923.00,0
76,6.68,5037563.00,0
76,6.68,5039196.00,0
76,6.68,5040832.00,0
76,6.68,5042462.00,0
76,6.68,5044092.00,0
76,6.68,5045728.00,0
76,6.68,5047350.00,0
76,6.68,5048980.00,0
76,6.68,5050620.00,0
76,6.68,5052250.00,0
76,6.68,5053876.00,0
76,6.68,5055508.00,0
76,6.68,5057151.00,0
76,6.68,5058787.00,0
76,6.68,5060419.00,0
76,6.68,5062045.00,0
76,6.68,5063678.00,0
76,6.68,5065320.00,0
76,6.68,5066958.00,0
76,6.68,5068580.00,0
76,6.68,5070219.00,0
76,6.68,5071835.00,0
76,6.68,5073463.00,0
76,6.59,5075104.00,0
76,6.68,5076743.00,0
76,6.68,5078373.00,0
76,6.68,5080004.00,0
76,6.68,5081628.00,0
76,6.68,5083270.00,0
76,6.68,5084895.00,0
75,6.68,5086527.00,0
76,6.68,5088154.00,0
76,6.68,5089791.00,0
76,6.68,5091420.00,0
76,6.68,5093056.00,0
76,6.68,5094689.00,0
76,6.68,5096318.00,0
76,6.68,5097956.00,0
76,6.68,5099581.00,0
76,6.68,5101207.00,0
76,6.68,5102854.00,0
76,6.68,5104484.00,0
76,6.68,5106121.00,0
76,6.68,5107746.00,0
76,6.68,5109380.00,0
76,6.68,5111019.00,0
75,6.59,5112655.00,0
76,6.68,5114286.00,0
76,6.59,5115923.00,0
76,6.68,5117574.00,0
76,6.68,5119214.00,0
76,6.68,5120846.00,0
76,6.68,5122468.00,0
76,6.68,5124100.00,0
76,6.68,5125734.00,0
76,6.68,5127368.00,0
76,6.68,5128992.00,0
76,6.68,5130633.00,0
76,6.68,5132260.00,0
75,6.68,5133898.00,0
76,6.68,5135528.00,0
76,6.68,5137163.00,0
76,6.68,5138791.00,0
76,6.68,5140425.00,0
76,6.68,5142050.00,0
76,6.68,5143689.00,0
76,6.68,5145316.00,0
76,6.68,5146948.00,0
76,6.68,5148571.00,0
76,6.68,5150216.00,0
76,6.68,5151846.00,0
76,6.68,5153483.00,0
76,6.68,5155108.00,0
76,6.68,5156742.00,0
76,6.68,5158379.00,0
76,6.68,5160009.00,1
81,7.03,5161635.00,1
83,7.30,5163272.00,1
88,7.65,5164896.00,1
93,8.18,5166530.00,1
98,8.44,5168158.00,1
103,9.05,5169838.00,1
109,9.49,5171520.00,1
117,10.29,5173189.00,1
124,10.81,5174909.00,1
135,11.69,5176641.00,1
145,12.57,5178358.00,1
154,13.36,5180086.00,1
166,14.51,5181804.00,1
178,15.47,5183537.00,1
191,16.70,5185259.00,1
203,17.67,5186992.00,1
218,18.90,5188704.00,1
233,20.40,5190432.00,1
248,21.54,5192146.00,1
264,23.03,5193877.00,1
281,24.44,5195589.00,1
298,25.93,5197322.00,1
316,27.52,5199049.00,1
332,29.01,5200779.00,1
350,30.59,5202502.00,1
366,32.00,5204232.00,1
384,33.49,5205946.00,1
401,35.08,5207673.00,1
418,36.57,5209406.00,1
