=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 15:22:26 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Angle, Radian, Angular Velocity, Angular Acceleration, Time, Started
4090,-0.44,-0.01,-4.06,-2147.77,5497021.00,0
4090,-0.44,-0.01,0.00,881.88,5501624.00,0
4090,-0.44,-0.01,0.00,0.00,5506083.00,0
4090,-0.44,-0.01,0.00,0.00,5510383.00,0
4090,-0.44,-0.01,0.00,0.00,5514677.00,0
4090,-0.44,-0.01,0.00,0.00,5518965.00,0
4090,-0.44,-0.01,0.00,0.00,5523258.00,0
4090,-0.44,-0.01,0.00,0.00,5527574.00,0
4090,-0.44,-0.01,0.00,0.00,5531883.00,0
4090,-0.44,-0.01,0.00,0.00,5536181.00,0
4090,-0.44,-0.01,0.00,0.00,5540470.00,0
4090,-0.44,-0.01,0.00,0.00,5544765.00,0
4090,-0.44,-0.01,0.00,0.00,5549088.00,0
4090,-0.44,-0.01,0.00,0.00,5553398.00,0
4090,-0.44,-0.01,0.00,0.00,5557692.00,0
4090,-0.44,-0.01,0.00,0.00,5561980.00,0
4090,-0.44,-0.01,0.00,0.00,5566273.00,0
4090,-0.44,-0.01,0.00,0.00,5570598.00,0
4090,-0.44,-0.01,0.00,0.00,5574940.00,0
4090,-0.44,-0.01,0.00,0.00,5579232.00,0
4090,-0.44,-0.01,0.00,0.00,5583534.00,0
4090,-0.44,-0.01,0.00,0.00,5587856.00,0
4090,-0.44,-0.01,0.00,0.00,5592150.00,0
4090,-0.44,-0.01,0.00,0.00,5596466.00,0
4090,-0.44,-0.01,0.00,0.00,5600785.00,0
4090,-0.44,-0.01,0.00,0.00,5605073.00,0
4090,-0.44,-0.01,0.00,0.00,5609381.00,0
4090,-0.44,-0.01,0.00,0.00,5613680.00,0
4090,-0.44,-0.01,0.00,0.00,5617981.00,0
4090,-0.44,-0.01,0.00,0.00,5622297.00,0
4090,-0.44,-0.01,0.00,0.00,5626581.00,0
4090,-0.44,-0.01,0.00,0.00,5630882.00,0
4090,-0.44,-0.01,0.00,0.00,5635192.00,0
4090,-0.44,-0.01,0.00,0.00,5639492.00,0
4090,-0.44,-0.01,0.00,0.00,5643807.00,0
4090,-0.44,-0.01,0.00,0.00,5648092.00,0
4090,-0.44,-0.01,0.00,0.00,5652391.00,0
4090,-0.44,-0.01,0.00,0.00,5656687.00,0
4090,-0.44,-0.01,0.00,0.00,5660990.00,0
4090,-0.44,-0.01,0.00,0.00,5665305.00,0
4090,-0.44,-0.01,0.00,0.00,5669589.00,0
4090,-0.44,-0.01,0.00,0.00,5673890.00,0
4090,-0.44,-0.01,0.00,0.00,5678184.00,0
4090,-0.44,-0.01,0.00,0.00,5682493.00,0
4090,-0.44,-0.01,0.00,0.00,5686808.00,0
4090,-0.44,-0.01,0.00,0.00,5691092.00,0
4090,-0.44,-0.01,0.00,0.00,5695404.00,0
4090,-0.44,-0.01,0.00,0.00,5699724.00,0
4090,-0.44,-0.01,0.00,0.00,5704014.00,0
4090,-0.44,-0.01,0.00,0.00,5708317.00,0
4090,-0.44,-0.01,0.00,0.00,5712600.00,0
4090,-0.44,-0.01,0.00,0.00,5716898.00,0
4090,-0.44,-0.01,0.00,0.00,5721191.00,0
4090,-0.44,-0.01,0.00,0.00,5725501.00,0
4090,-0.44,-0.01,0.00,0.00,5729816.00,0
4090,-0.44,-0.01,0.00,0.00,5734100.00,0
4090,-0.44,-0.01,0.00,0.00,5738413.00,0
4090,-0.44,-0.01,0.00,0.00,5742733.00,0
4090,-0.44,-0.01,0.00,0.00,5747022.00,0
4090,-0.44,-0.01,0.00,0.00,5751350.00,0
4090,-0.44,-0.01,0.00,0.00,5755664.00,0
4090,-0.44,-0.01,0.00,0.00,5759963.00,0
4090,-0.44,-0.01,0.00,0.00,5764285.00,0
4090,-0.44,-0.01,0.00,0.00,5768573.00,0
4090,-0.44,-0.01,0.00,0.00,5772867.00,0
4090,-0.44,-0.01,0.00,0.00,5777183.00,0
4090,-0.44,-0.01,0.00,0.00,5781481.00,0
4090,-0.44,-0.01,0.00,0.00,5785789.00,0
4090,-0.44,-0.01,0.00,0.00,5790077.00,0
4090,-0.44,-0.01,0.00,0.00,5794371.00,0
4090,-0.44,-0.01,0.00,0.00,5798687.00,0
4090,-0.44,-0.01,0.00,0.00,5802985.00,0
4090,-0.44,-0.01,0.00,0.00,5807292.00,0
4090,-0.44,-0.01,0.00,0.00,5811610.00,0
4090,-0.44,-0.01,0.00,0.00,5815894.00,0
4090,-0.44,-0.01,0.00,0.00,5820189.00,0
4090,-0.44,-0.01,0.00,0.00,5824488.00,0
4090,-0.44,-0.01,0.00,0.00,5828796.00,0
4090,-0.44,-0.01,0.00,0.00,5833114.00,0
4090,-0.44,-0.01,0.00,0.00,5837398.00,0
4090,-0.44,-0.01,0.00,0.00,5841692.00,0
4090,-0.44,-0.01,0.00,0.00,5845990.00,0
4090,-0.44,-0.01,0.00,0.00,5850300.00,0
4090,-0.44,-0.01,0.00,0.00,5854617.00,0
4090,-0.44,-0.01,0.00,0.00,5858901.00,0
4090,-0.44,-0.01,0.00,0.00,5863196.00,0
4090,-0.44,-0.01,0.00,0.00,5867495.00,0
4090,-0.44,-0.01,0.00,0.00,5871804.00,0
4090,-0.44,-0.01,0.00,0.00,5876123.00,0
4090,-0.44,-0.01,0.00,0.00,5880407.00,0
4090,-0.44,-0.01,0.00,0.00,5884701.00,0
4090,-0.44,-0.01,0.00,0.00,5889008.00,0
4090,-0.44,-0.01,0.00,0.00,5893308.00,0
4090,-0.44,-0.01,0.00,0.00,5897626.00,0
4090,-0.44,-0.01,0.00,0.00,5901910.00,0
4090,-0.44,-0.01,0.00,0.00,5906205.00,0
4090,-0.44,-0.01,0.00,0.00,5910503.00,0
4090,-0.44,-0.01,0.00,0.00,5914812.00,0
4090,-0.44,-0.01,0.00,0.00,5919130.00,0
4090,-0.44,-0.01,0.00,0.00,5923415.00,0
4090,-0.44,-0.01,0.00,0.00,5927708.00,0
4090,-0.44,-0.01,0.00,0.00,5932007.00,0
4090,-0.44,-0.01,0.00,0.00,5936317.00,0
4090,-0.44,-0.01,0.00,0.00,5940634.00,0
4090,-0.44,-0.01,0.00,0.00,5944918.00,0
4090,-0.44,-0.01,0.00,0.00,5949213.00,0
4090,-0.44,-0.01,0.00,0.00,5953520.00,0
4090,-0.44,-0.01,0.00,0.00,5957820.00,0
4090,-0.44,-0.01,0.00,0.00,5962137.00,0
4090,-0.44,-0.01,0.00,0.00,5966421.00,0
4090,-0.44,-0.01,0.00,0.00,5970716.00,0
4090,-0.44,-0.01,0.00,0.00,5975015.00,0
4090,-0.44,-0.01,0.00,0.00,5979324.00,0
4090,-0.44,-0.01,0.00,0.00,5983642.00,0
4090,-0.44,-0.01,0.00,0.00,5987926.00,0
4090,-0.44,-0.01,0.00,0.00,5992220.00,0
4090,-0.44,-0.01,0.00,0.00,5996519.00,0
4090,-0.44,-0.01,0.00,0.00,6000828.00,0
4090,-0.44,-0.01,0.00,0.00,6005117.00,0
4090,-0.44,-0.01,0.00,0.00,6009410.00,0
4090,-0.44,-0.01,0.00,0.00,6013726.00,0
4090,-0.44,-0.01,0.00,0.00,6018032.00,0
4090,-0.44,-0.01,0.00,0.00,6022341.00,0
4090,-0.44,-0.01,0.00,0.00,6026650.00,0
4090,-0.44,-0.01,0.00,0.00,6030935.00,0
4090,-0.44,-0.01,0.00,0.00,6035228.00,0
4090,-0.44,-0.01,0.00,0.00,6039527.00,0
4090,-0.44,-0.01,0.00,0.00,6043836.00,0
4090,-0.44,-0.01,0.00,0.00,6048155.00,0
4090,-0.44,-0.01,0.00,0.00,6052439.00,0
4090,-0.44,-0.01,0.00,0.00,6056733.00,0
4090,-0.44,-0.01,0.00,0.00,6061040.00,0
4090,-0.44,-0.01,0.00,0.00,6065350.00,0
4090,-0.44,-0.01,0.00,0.00,6069667.00,0
4090,-0.44,-0.01,0.00,0.00,6073951.00,0
4090,-0.44,-0.01,0.00,0.00,6078244.00,0
4090,-0.44,-0.01,0.00,0.00,6082554.00,0
4090,-0.44,-0.01,0.00,0.00,6086863.00,0
4090,-0.44,-0.01,0.00,0.00,6091166.00,0
4090,-0.44,-0.01,0.00,0.00,6095450.00,0
4090,-0.44,-0.01,0.00,0.00,6099744.00,0
4090,-0.44,-0.01,0.00,0.00,6104047.00,0
4090,-0.44,-0.01,0.00,0.00,6108348.00,0
4090,-0.44,-0.01,0.00,0.00,6112666.00,0
4090,-0.44,-0.01,0.00,0.00,6116950.00,0
4090,-0.44,-0.01,0.00,0.00,6121244.00,0
4090,-0.44,-0.01,0.00,0.00,6125552.00,0
4090,-0.44,-0.01,0.00,0.00,6129861.00,0
4090,-0.44,-0.01,0.00,0.00,6134180.00,0
4090,-0.44,-0.01,0.00,0.00,6138480.00,0
4090,-0.44,-0.01,0.00,0.00,6142773.00,0
4090,-0.44,-0.01,0.00,0.00,6147088.00,0
4090,-0.44,-0.01,0.00,0.00,6151381.00,0
4090,-0.44,-0.01,0.00,0.00,6155678.00,0
4090,-0.44,-0.01,0.00,0.00,6159963.00,0
4090,-0.44,-0.01,0.00,0.00,6164258.00,0
4090,-0.44,-0.01,0.00,0.00,6168559.00,0
4090,-0.44,-0.01,0.00,0.00,6172860.00,0
4090,-0.44,-0.01,0.00,0.00,6177178.00,0
4090,-0.44,-0.01,0.00,0.00,6181463.00,0
4090,-0.44,-0.01,0.00,0.00,6185757.00,0
4090,-0.44,-0.01,0.00,0.00,6190063.00,0
4090,-0.44,-0.01,0.00,0.00,6194372.00,0
4090,-0.44,-0.01,0.00,0.00,6198689.00,0
4090,-0.44,-0.01,0.00,0.00,6202972.00,0
4090,-0.44,-0.01,0.00,0.00,6207266.00,0
4090,-0.44,-0.01,0.00,0.00,6211568.00,0
4090,-0.44,-0.01,0.00,0.00,6215878.00,0
4090,-0.44,-0.01,0.00,0.00,6220195.00,0
4090,-0.44,-0.01,0.00,0.00,6224495.00,0
4090,-0.44,-0.01,0.00,0.00,6228789.00,0
4090,-0.44,-0.01,0.00,0.00,6233114.00,0
4090,-0.44,-0.01,0.00,0.00,6237430.00,0
4090,-0.44,-0.01,0.00,0.00,6241723.00,0
4090,-0.44,-0.01,0.00,0.00,6246012.00,0
4090,-0.44,-0.01,0.00,0.00,6250305.00,0
4090,-0.44,-0.01,0.00,0.00,6254622.00,0
4090,-0.44,-0.01,0.00,0.00,6258933.00,0
4090,-0.44,-0.01,0.00,0.00,6263226.00,0
4090,-0.44,-0.01,0.00,0.00,6267515.00,0
4090,-0.44,-0.01,0.00,0.00,6271808.00,0
4090,-0.44,-0.01,0.00,0.00,6276131.00,0
4090,-0.44,-0.01,0.00,0.00,6280447.00,0
4090,-0.44,-0.01,0.00,0.00,6284740.00,0
4090,-0.44,-0.01,0.00,0.00,6289055.00,0
4090,-0.44,-0.01,0.00,0.00,6293340.00,0
4090,-0.44,-0.01,0.00,0.00,6297652.00,0
4090,-0.44,-0.01,0.00,0.00,6301975.00,0
4090,-0.44,-0.01,0.00,0.00,6306258.00,0
4090,-0.44,-0.01,0.00,0.00,6310561.00,0
4090,-0.44,-0.01,0.00,0.00,6314844.00,0
4090,-0.44,-0.01,0.00,0.00,6319157.00,0
4090,-0.44,-0.01,0.00,0.00,6323497.00,0
4090,-0.44,-0.01,0.00,0.00,6327781.00,0
