=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.13 15:37:24 =~=~=~=~=~=~=~=~=~=~=~=
2,173.65,8682.67,1,5758,3,5758.60,21
7,300.13,6323.64,1,3331,8,3331.93,43
15,431.37,6562.05,1,2318,16,2318.21,65
25,553.27,6094.92,1,1807,26,1807.45,87
38,679.81,6327.26,1,1470,39,1471.00,109
54,808.82,6450.63,1,1236,55,1236.36,132
73,939.29,6523.16,1,1064,74,1064.64,155
94,1065.05,6288.16,1,938,95,938.92,178
117,1187.61,6127.84,1,842,118,842.03,200
143,1312.44,6241.66,1,761,144,761.94,223
173,1443.12,6534.11,1,692,174,692.94,246
204,1566.75,6181.43,1,638,205,638.26,269
239,1695.53,6439.06,1,589,240,589.79,292
275,1818.50,6148.55,1,549,276,549.90,315
315,1946.05,6377.12,1,513,316,513.86,338
356,2068.63,6129.28,1,483,357,483.41,361
399,2189.84,6060.25,1,456,400,456.66,384
447,2317.66,6391.22,1,431,448,431.47,407
495,2438.79,6056.69,1,410,496,410.04,430
548,2565.91,6355.85,1,389,549,389.73,453
601,2687.02,6055.52,1,372,602,372.16,476
659,2813.59,6328.41,1,355,660,355.42,499
717,2934.70,6055.72,1,340,718,340.75,522
780,3060.83,6306.52,1,326,781,326.71,545
843,3181.97,6056.74,1,314,844,314.27,568
911,3307.74,6288.78,1,302,912,302.32,591
979,3428.91,6058.14,1,291,980,291.64,614
1052,3554.39,6273.95,1,281,1053,281.34,637
1127,3678.85,6223.16,1,271,1128,271.82,661
1202,3799.24,6019.38,1,263,1203,263.21,684
1281,3922.05,6140.81,1,254,1282,254.97,707
1361,4042.62,6028.34,1,247,1362,247.36,730
1445,4165.46,6142.08,1,240,1446,240.07,753
1528,4283.38,5895.95,1,233,1529,233.46,776
1618,4358.39,3750.32,1,229,-1582,229.44,799
1703,4239.72,-5933.23,1,235,-1497,235.86,822
1788,4117.64,-6104.13,1,242,-1412,242.86,845
1869,3997.83,-5990.30,1,250,-1331,250.14,868
1950,3874.32,-6175.59,1,258,-1250,258.11,891
2026,3754.74,-5978.88,1,266,-1174,266.33,914
2103,3629.58,-6258.39,1,275,-1097,275.51,937
2177,3505.08,-6225.04,1,285,-1023,285.30,961
2245,3386.64,-5921.86,1,295,-955,295.28,984
2315,3260.23,-6320.59,1,306,-885,306.73,1007
2379,3140.20,-6001.45,1,318,-821,318.45,1030
2443,3015.40,-6240.01,1,331,-757,331.63,1053
2502,2895.59,-5990.58,1,345,-698,345.35,1076
2562,2768.43,-6357.75,1,361,-638,361.22,1099
2616,2648.78,-5982.68,1,377,-584,377.53,1122
2671,2521.08,-6385.01,1,396,-529,396.66,1145
2720,2401.60,-5974.08,1,416,-480,416.39,1168
2770,2273.21,-6419.24,1,439,-430,439.91,1191
2814,2153.91,-5964.97,1,464,-386,464.27,1214
2858,2027.61,-6315.31,1,493,-342,493.19,1238
2900,1899.22,-6419.24,1,526,-300,526.53,1261
2937,1778.46,-6038.16,1,562,-263,562.29,1284
2974,1648.87,-6479.19,1,606,-226,606.47,1307
3006,1527.96,-6045.48,1,654,-194,654.47,1330
3037,1400.92,-6352.38,1,713,-163,713.82,1353
3064,1280.03,-6044.36,1,781,-136,781.23,1376
3090,1151.69,-6417.05,1,868,-110,868.29,1399
3112,1030.68,-6050.18,1,970,-88,970.23,1422
3133,900.13,-6527.59,1,1110,-67,1110.95,1445
3150,778.58,-6077.79,1,1284,-50,1284.39,1468
3166,643.53,-6752.37,1,1553,-34,1553.93,1491
3179,508.03,-6775.11,1,1968,-21,1968.40,1515
3188,387.39,-6031.73,1,2581,-12,2581.36,1538
3195,257.07,-6515.95,1,3889,-5,3889.93,1561
3199,135.06,-6100.49,1,7403,-1,7403.90,1584
3200,0.00,-6753.19,1,0,0,7403.90,1607
3200,0.00,0.00,1,0,0,7403.90,1629
