=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 15:17:12 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Angle, Radian, Angular Velocity, Angular Acceleration, Time, Started
4082,-1.14,-0.02,-10.53,-5560.42,3154260.00,0
4082,-1.14,-0.02,0.00,2256.58,3158927.00,0
4082,-1.14,-0.02,0.00,0.00,3163462.00,0
4082,-1.14,-0.02,0.00,0.00,3167794.00,0
4082,-1.14,-0.02,0.00,0.00,3172129.00,0
4082,-1.14,-0.02,0.00,0.00,3176448.00,0
4081,-1.14,-0.02,0.00,0.00,3180756.00,0
4082,-1.14,-0.02,0.00,0.00,3185058.00,0
4082,-1.23,-0.02,-0.35,-82.11,3189381.00,0
4082,-1.14,-0.02,0.34,154.05,3193893.00,0
4082,-1.14,-0.02,0.00,-75.24,3198413.00,0
4082,-1.14,-0.02,0.00,0.00,3202868.00,0
4082,-1.14,-0.02,0.00,0.00,3207201.00,0
4082,-1.14,-0.02,0.00,0.00,3211542.00,0
4082,-1.14,-0.02,0.00,0.00,3215835.00,0
4082,-1.14,-0.02,0.00,0.00,3220156.00,0
4082,-1.14,-0.02,0.00,0.00,3224485.00,0
4082,-1.14,-0.02,0.00,0.00,3228822.00,0
4082,-1.14,-0.02,0.00,0.00,3233141.00,0
4082,-1.14,-0.02,0.00,0.00,3237455.00,0
4082,-1.14,-0.02,0.00,0.00,3241758.00,0
4081,-1.14,-0.02,0.00,0.00,3246076.00,0
4082,-1.14,-0.02,0.00,0.00,3250390.00,0
4082,-1.14,-0.02,0.00,0.00,3254693.00,0
4082,-1.14,-0.02,0.00,0.00,3259024.00,0
4082,-1.14,-0.02,0.00,0.00,3263326.00,0
4082,-1.14,-0.02,0.00,0.00,3267638.00,0
4082,-1.14,-0.02,0.00,0.00,3271985.00,0
4082,-1.14,-0.02,0.00,0.00,3276310.00,0
4082,-1.14,-0.02,0.00,0.00,3280623.00,0
4082,-1.14,-0.02,0.00,0.00,3284921.00,0
4082,-1.14,-0.02,0.00,0.00,3289252.00,0
4081,-1.14,-0.02,0.00,0.00,3293575.00,0
4082,-1.14,-0.02,0.00,0.00,3297872.00,0
