=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.04 15:33:58 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Time, Started
4084,2700727,0
4083,2702463,0
4083,2704207,0
4083,2705958,0
4084,2707679,0
4083,2709423,0
4083,2711153,0
4083,2712905,0
4083,2714648,0
4083,2716391,0
4083,2718133,0
4083,2719855,0
4083,2721603,0
4083,2723346,0
4083,2725082,0
4083,2726814,0
4083,2728558,0
4083,2730309,0
4083,2732030,0
4083,2733760,0
4083,2735495,0
4083,2737237,0
4083,2738989,0
4083,2740726,0
4083,2742455,0
4083,2744177,0
4084,2745930,0
4083,2747671,0
4083,2749415,0
4083,2751157,0
4084,2752893,0
4084,2754622,0
4083,2756343,0
4083,2758087,0
4083,2759822,0
4083,2761567,0
4083,2763319,0
4083,2765041,0
4083,2766782,0
4083,2768507,0
4083,2770254,0
4083,2771995,0
4083,2773737,0
4084,2775479,0
4083,2777202,0
4083,2778949,0
4083,2780694,0
4083,2782428,0
4083,2784160,0
4083,2785904,0
4083,2787656,0
4083,2789389,0
4083,2791112,0
4083,2792845,0
4083,2794589,0
4083,2796339,0
4083,2798072,0
4083,2799803,0
4083,2801525,0
4083,2803278,0
4083,2805029,0
4083,2806763,0
4083,2808507,0
4083,2810241,0
4083,2811974,0
4083,2813727,0
4083,2815463,0
4083,2817206,0
4083,2818940,0
4083,2820682,0
4083,2822424,0
4083,2824154,0
4083,2825876,0
4083,2827621,0
4083,2829373,0
4083,2831115,0
4083,2832848,0
4083,2834570,0
4083,2836302,0
4083,2838055,0
4083,2839788,0
4084,2841531,0
4084,2843264,0
4083,2845008,0
4083,2846746,0
4084,2848479,0
4083,2850213,0
4083,2851953,0
4083,2853705,0
4083,2855450,0
4083,2857179,0
4083,2858922,0
4083,2860657,0
4083,2862410,0
4083,2864155,0
4083,2865896,0
4083,2867642,0
4083,2869363,0
4083,2871105,0
4083,2872847,0
4083,2874580,0
4083,2876315,0
4084,2878057,0
4083,2879809,0
4083,2881531,0
4083,2883263,0
4083,2884997,0
4083,2886738,0
4083,2888487,0
4083,2890220,0
4083,2891950,0
4084,2893682,0
4083,2895434,0
4083,2897178,0
4083,2898919,0
4083,2900661,0
4083,2902396,0
4083,2904127,0
4083,2905850,0
4083,2907592,0
4083,2909327,0
4083,2911069,0
4083,2912821,0
4083,2914545,0
4084,2916287,0
4084,2918010,0
4083,2919755,0
4083,2921497,0
4083,2923230,0
4083,2924965,0
4083,2926695,0
4083,2928447,0
4083,2930192,0
4083,2931926,0
4083,2933658,0
4083,2935403,0
4083,2937156,0
4083,2938877,0
4083,2940608,0
4083,2942343,0
4083,2944089,0
4083,2945840,0
4083,2947574,0
4083,2949304,0
4083,2951026,0
4083,2952778,0
4083,2954523,0
4083,2956263,0
4083,2958005,0
4083,2959738,0
4083,2961470,0
4083,2963190,0
4084,2964935,0
4083,2966669,0
4083,2968413,0
4083,2970165,0
4083,2971888,0
