=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.13 15:53:32 =~=~=~=~=~=~=~=~=~=~=~=
0,0.00,0.00,0,0,0,1952.32,2447
0,0.00,0.00,0,0,0,1952.32,2469
0,0.00,0.00,0,0,0,1952.32,2491
0,0.00,0.00,0,0,0,1952.32,2513
0,0.00,0.00,0,0,0,1952.32,2535
0,0.00,0.00,0,0,0,1952.32,2557
0,0.00,0.00,0,0,0,1952.32,2579
0,0.00,0.00,0,0,0,1952.32,2601
0,0.00,0.00,0,0,0,1952.32,2624
0,0.00,0.00,0,0,0,1952.32,2646
0,0.00,0.00,0,0,0,1952.32,2668
0,0.00,0.00,0,0,0,1952.32,2690
0,0.00,0.00,0,0,0,1952.32,2712
0,0.00,0.00,0,0,0,1952.32,2734
0,0.00,0.00,0,0,0,1952.32,2756
0,0.00,0.00,0,0,0,1952.32,2778
0,0.00,0.00,0,0,0,1952.32,2800
0,0.00,0.00,0,0,0,1952.32,2822
0,0.00,0.00,0,0,0,1952.32,2844
0,0.00,0.00,0,0,0,1952.32,2866
0,0.00,0.00,0,0,0,1952.32,2888
0,0.00,0.00,0,0,0,1952.32,2910
0,0.00,0.00,0,0,0,1952.32,2932
0,0.00,0.00,0,0,0,1952.32,2954
0,0.00,0.00,0,0,0,1952.32,2976
0,0.00,0.00,0,0,0,1952.32,2998
0,0.00,0.00,0,0,0,1952.32,3020
0,0.00,0.00,0,0,0,1952.32,3042
