Position, Velocity, Time, Started
1, 5026.18994140625, 217, 1
6, 5026.18994140625, 218, 1
11, 5026.18994140625, 219, 1
16, 5026.18994140625, 220, 1
21, 5026.18994140625, 221, 1
25, 5026.18994140625, 222, 1
31, 5026.18994140625, 223, 1
36, 5026.18994140625, 224, 1
40, 5026.18994140625, 225, 1
46, 5026.18994140625, 226, 1
51, 5026.18994140625, 227, 1
56, 5026.18994140625, 228, 1
61, 5026.18994140625, 229, 1
66, 5026.18994140625, 230, 1
70, 5026.18994140625, 231, 1
76, 5026.18994140625, 232, 1
81, 5026.18994140625, 233, 1
85, 5026.18994140625, 234, 1
91, 5026.18994140625, 235, 1
96, 5026.18994140625, 236, 1
100, 5026.18994140625, 237, 1
106, 5026.18994140625, 238, 1
111, 5026.18994140625, 239, 1
116, 5026.18994140625, 240, 1
121, 5026.18994140625, 241, 1
126, 5026.18994140625, 242, 1
131, 5026.18994140625, 243, 1
136, 5026.18994140625, 244, 1
141, 5026.18994140625, 245, 1
146, 5026.18994140625, 246, 1
151, 5026.18994140625, 247, 1
156, 5026.18994140625, 248, 1
161, 5026.18994140625, 249, 1
165, 5026.18994140625, 250, 1
170, 5026.18994140625, 251, 1
175, 5026.18994140625, 252, 1
179, 5026.18994140625, 253, 1
184, 5026.18994140625, 254, 1
189, 5026.18994140625, 255, 1
193, 5026.18994140625, 256, 1
198, 5026.18994140625, 257, 1
202, 5026.18994140625, 258, 1
207, 5026.18994140625, 259, 1
211, 5026.18994140625, 260, 1
216, 5026.18994140625, 261, 1
221, 5026.18994140625, 262, 1
226, 5026.18994140625, 263, 1
236, 5026.18994140625, 265, 1
241, 5026.18994140625, 266, 1
245, 5026.18994140625, 267, 1
250, 5026.18994140625, 268, 1
255, 5026.18994140625, 269, 1
259, 5026.18994140625, 270, 1
264, 5026.18994140625, 271, 1
270, 5026.18994140625, 272, 1
275, 5026.18994140625, 273, 1
285, 5026.18994140625, 275, 1
290, 5026.18994140625, 276, 1
294, 5026.18994140625, 277, 1
300, 5026.18994140625, 278, 1
305, 5026.18994140625, 279, 1
310, 5026.18994140625, 280, 1
314, 5026.18994140625, 281, 1
320, 5026.18994140625, 282, 1
325, 5026.18994140625, 283, 1
335, 5026.18994140625, 285, 1
340, 5026.18994140625, 286, 1
345, 5026.18994140625, 287, 1
350, 5026.18994140625, 288, 1
355, 5026.18994140625, 289, 1
360, 5026.18994140625, 290, 1
365, 5026.18994140625, 291, 1
370, 5026.18994140625, 292, 1
379, 5026.18994140625, 294, 1
383, 5026.18994140625, 295, 1
389, 5026.18994140625, 296, 1
